;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;83
1-2-3-5-4;83
1-2-4-3-5;55
1-2-5-3-4;55
1-2-4-5-3;71
1-2-5-4-3;71
1-3-2-4-5;82
1-3-2-5-4;82
1-4-2-3-5;70
1-5-2-3-4;70
1-4-2-5-3;70
1-5-2-4-3;70
1-3-4-2-5;54
1-3-5-2-4;54
1-4-3-2-5;45
1-5-3-2-4;45
1-4-5-2-3;45
1-5-4-2-3;45
1-3-4-5-2;58
1-3-5-4-2;58
1-4-3-5-2;58
1-5-3-4-2;58
1-4-5-3-2;57
1-5-4-3-2;57
2-1-3-4-5;84
2-1-3-5-4;84
2-1-4-3-5;56
2-1-5-3-4;56
2-1-4-5-3;72
2-1-5-4-3;72
3-1-2-4-5;84
3-1-2-5-4;84
4-1-2-3-5;84
5-1-2-3-4;84
4-1-2-5-3;84
5-1-2-4-3;84
3-1-4-2-5;56
3-1-5-2-4;56
4-1-3-2-5;56
5-1-3-2-4;56
4-1-5-2-3;56
5-1-4-2-3;56
3-1-4-5-2;72
3-1-5-4-2;72
4-1-3-5-2;72
5-1-3-4-2;72
4-1-5-3-2;72
5-1-4-3-2;72
2-3-1-4-5;82
2-3-1-5-4;82
2-4-1-3-5;70
2-5-1-3-4;70
2-4-1-5-3;70
2-5-1-4-3;70
3-2-1-4-5;80
3-2-1-5-4;80
4-2-1-3-5;80
5-2-1-3-4;80
4-2-1-5-3;80
5-2-1-4-3;80
3-4-1-2-5;70
3-5-1-2-4;70
4-3-1-2-5;80
5-3-1-2-4;80
4-5-1-2-3;64
5-4-1-2-3;64
3-4-1-5-2;70
3-5-1-4-2;70
4-3-1-5-2;81
5-3-1-4-2;81
4-5-1-3-2;64
5-4-1-3-2;64
2-3-4-1-5;55
2-3-5-1-4;55
2-4-3-1-5;46
2-5-3-1-4;46
2-4-5-1-3;46
2-5-4-1-3;46
3-2-4-1-5;54
3-2-5-1-4;54
4-2-3-1-5;54
5-2-3-1-4;54
4-2-5-1-3;54
5-2-4-1-3;54
3-4-2-1-5;46
3-5-2-1-4;46
4-3-2-1-5;56
5-3-2-1-4;56
4-5-2-1-3;40
5-4-2-1-3;40
3-4-5-1-2;46
3-5-4-1-2;46
4-3-5-1-2;58
5-3-4-1-2;58
4-5-3-1-2;45
5-4-3-1-2;45
2-3-4-5-1;59
2-3-5-4-1;59
2-4-3-5-1;59
2-5-3-4-1;59
2-4-5-3-1;58
2-5-4-3-1;58
3-2-4-5-1;70
3-2-5-4-1;70
4-2-3-5-1;70
5-2-3-4-1;70
4-2-5-3-1;70
5-2-4-3-1;70
3-4-2-5-1;63
3-5-2-4-1;63
4-3-2-5-1;74
5-3-2-4-1;74
4-5-2-3-1;57
5-4-2-3-1;57
3-4-5-2-1;58
3-5-4-2-1;58
4-3-5-2-1;70
5-3-4-2-1;70
4-5-3-2-1;57
5-4-3-2-1;57
