;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.48664
1-2-3-5-4;0.48664
1-2-4-3-5;0.48663
1-2-5-3-4;0.48663
1-2-4-5-3;0.48679
1-2-5-4-3;0.48679
1-3-2-4-5;0.48664
1-3-2-5-4;0.48664
1-4-2-3-5;0.48689
1-5-2-3-4;0.48689
1-4-2-5-3;0.48677
1-5-2-4-3;0.48677
1-3-4-2-5;0.48650
1-3-5-2-4;0.48650
1-4-3-2-5;0.48664
1-5-3-2-4;0.48664
1-4-5-2-3;0.48674
1-5-4-2-3;0.48674
1-3-4-5-2;0.48695
1-3-5-4-2;0.48695
1-4-3-5-2;0.48706
1-5-3-4-2;0.48706
1-4-5-3-2;0.48679
1-5-4-3-2;0.48679
2-1-3-4-5;0.48658
2-1-3-5-4;0.48658
2-1-4-3-5;0.48659
2-1-5-3-4;0.48659
2-1-4-5-3;0.48670
2-1-5-4-3;0.48670
3-1-2-4-5;0.48667
3-1-2-5-4;0.48667
4-1-2-3-5;0.48681
5-1-2-3-4;0.48681
4-1-2-5-3;0.48685
5-1-2-4-3;0.48685
3-1-4-2-5;0.48653
3-1-5-2-4;0.48653
4-1-3-2-5;0.48662
5-1-3-2-4;0.48662
4-1-5-2-3;0.48661
5-1-4-2-3;0.48661
3-1-4-5-2;0.48692
3-1-5-4-2;0.48692
4-1-3-5-2;0.48692
5-1-3-4-2;0.48692
4-1-5-3-2;0.48661
5-1-4-3-2;0.48661
2-3-1-4-5;0.48672
2-3-1-5-4;0.48672
2-4-1-3-5;0.48705
2-5-1-3-4;0.48705
2-4-1-5-3;0.48692
2-5-1-4-3;0.48692
3-2-1-4-5;0.48659
3-2-1-5-4;0.48659
4-2-1-3-5;0.48673
5-2-1-3-4;0.48673
4-2-1-5-3;0.48676
5-2-1-4-3;0.48676
3-4-1-2-5;0.48703
3-5-1-2-4;0.48703
4-3-1-2-5;0.48680
5-3-1-2-4;0.48680
4-5-1-2-3;0.48726
5-4-1-2-3;0.48726
3-4-1-5-2;0.48673
3-5-1-4-2;0.48673
4-3-1-5-2;0.48677
5-3-1-4-2;0.48677
4-5-1-3-2;0.48716
5-4-1-3-2;0.48716
2-3-4-1-5;0.48671
2-3-5-1-4;0.48671
2-4-3-1-5;0.48685
2-5-3-1-4;0.48685
2-4-5-1-3;0.48697
2-5-4-1-3;0.48697
3-2-4-1-5;0.48662
3-2-5-1-4;0.48662
4-2-3-1-5;0.48664
5-2-3-1-4;0.48664
4-2-5-1-3;0.48670
5-2-4-1-3;0.48670
3-4-2-1-5;0.48708
3-5-2-1-4;0.48708
4-3-2-1-5;0.48691
5-3-2-1-4;0.48691
4-5-2-1-3;0.48731
5-4-2-1-3;0.48731
3-4-5-1-2;0.48731
3-5-4-1-2;0.48731
4-3-5-1-2;0.48706
5-3-4-1-2;0.48706
4-5-3-1-2;0.48735
5-4-3-1-2;0.48735
2-3-4-5-1;0.48697
2-3-5-4-1;0.48697
2-4-3-5-1;0.48718
2-5-3-4-1;0.48718
2-4-5-3-1;0.48691
2-5-4-3-1;0.48691
3-2-4-5-1;0.48673
3-2-5-4-1;0.48673
4-2-3-5-1;0.48681
5-2-3-4-1;0.48681
4-2-5-3-1;0.48651
5-2-4-3-1;0.48651
3-4-2-5-1;0.48683
3-5-2-4-1;0.48683
4-3-2-5-1;0.48687
5-3-2-4-1;0.48687
4-5-2-3-1;0.48727
5-4-2-3-1;0.48727
3-4-5-2-1;0.48696
3-5-4-2-1;0.48696
4-3-5-2-1;0.48671
5-3-4-2-1;0.48671
4-5-3-2-1;0.48701
5-4-3-2-1;0.48701
