;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;105455821
1-2-3-5-4;105455821
1-2-4-3-5;105428971
1-2-5-3-4;105428971
1-2-4-5-3;105258305
1-2-5-4-3;105258305
1-3-2-4-5;105705892
1-3-2-5-4;105705892
1-4-2-3-5;105717962
1-5-2-3-4;105717962
1-4-2-5-3;105652783
1-5-2-4-3;105652783
1-3-4-2-5;105444053
1-3-5-2-4;105444053
1-4-3-2-5;105475370
1-5-3-2-4;105475370
1-4-5-2-3;105417039
1-5-4-2-3;105417039
1-3-4-5-2;105236758
1-3-5-4-2;105236758
1-4-3-5-2;105524154
1-5-3-4-2;105524154
1-4-5-3-2;105324318
1-5-4-3-2;105324318
2-1-3-4-5;105454468
2-1-3-5-4;105454468
2-1-4-3-5;105425498
2-1-5-3-4;105425498
2-1-4-5-3;105256175
2-1-5-4-3;105256175
3-1-2-4-5;105779244
3-1-2-5-4;105779244
4-1-2-3-5;105862597
5-1-2-3-4;105862597
4-1-2-5-3;105743856
5-1-2-4-3;105743856
3-1-4-2-5;105491696
3-1-5-2-4;105491696
4-1-3-2-5;105640723
5-1-3-2-4;105640723
4-1-5-2-3;105451923
5-1-4-2-3;105451923
3-1-4-5-2;105324795
3-1-5-4-2;105324795
4-1-3-5-2;105590004
5-1-3-4-2;105590004
4-1-5-3-2;105270615
5-1-4-3-2;105270615
2-3-1-4-5;105873262
2-3-1-5-4;105873262
2-4-1-3-5;105814436
2-5-1-3-4;105814436
2-4-1-5-3;105799514
2-5-1-4-3;105799514
3-2-1-4-5;105903432
3-2-1-5-4;105903432
4-2-1-3-5;105935726
5-2-1-3-4;105935726
4-2-1-5-3;105868081
5-2-1-4-3;105868081
3-4-1-2-5;105896935
3-5-1-2-4;105896935
4-3-1-2-5;105943095
5-3-1-2-4;105943095
4-5-1-2-3;105835056
5-4-1-2-3;105835056
3-4-1-5-2;105747612
3-5-1-4-2;105747612
4-3-1-5-2;105807998
5-3-1-4-2;105807998
4-5-1-3-2;105765159
5-4-1-3-2;105765159
2-3-4-1-5;105560478
2-3-5-1-4;105560478
2-4-3-1-5;105595182
2-5-3-1-4;105595182
2-4-5-1-3;105538285
2-5-4-1-3;105538285
3-2-4-1-5;105574058
3-2-5-1-4;105574058
4-2-3-1-5;105705146
5-2-3-1-4;105705146
4-2-5-1-3;105534216
5-2-4-1-3;105534216
3-4-2-1-5;105845439
3-5-2-1-4;105845439
4-3-2-1-5;105869728
5-3-2-1-4;105869728
4-5-2-1-3;105783707
5-4-2-1-3;105783707
3-4-5-1-2;105587292
3-5-4-1-2;105587292
4-3-5-1-2;105483435
5-3-4-1-2;105483435
4-5-3-1-2;105795334
5-4-3-1-2;105795334
2-3-4-5-1;105254606
2-3-5-4-1;105254606
2-4-3-5-1;105562147
2-5-3-4-1;105562147
2-4-5-3-1;105362230
2-5-4-3-1;105362230
3-2-4-5-1;105298699
3-2-5-4-1;105298699
4-2-3-5-1;105583729
5-2-3-4-1;105583729
4-2-5-3-1;105263117
5-2-4-3-1;105263117
3-4-2-5-1;105592239
3-5-2-4-1;105592239
4-3-2-5-1;105650996
5-3-2-4-1;105650996
4-5-2-3-1;105644002
5-4-2-3-1;105644002
3-4-5-2-1;105440730
3-5-4-2-1;105440730
4-3-5-2-1;105339636
5-3-4-2-1;105339636
4-5-3-2-1;105653090
5-4-3-2-1;105653090
