;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;105454867
1-2-3-5-4;105454867
1-2-4-3-5;105428138
1-2-5-3-4;105428138
1-2-4-5-3;105257483
1-2-5-4-3;105257483
1-3-2-4-5;105704873
1-3-2-5-4;105704873
1-4-2-3-5;105717005
1-5-2-3-4;105717005
1-4-2-5-3;105651826
1-5-2-4-3;105651826
1-3-4-2-5;105443231
1-3-5-2-4;105443231
1-4-3-2-5;105474445
1-5-3-2-4;105474445
1-4-5-2-3;105416237
1-5-4-2-3;105416237
1-3-4-5-2;105235960
1-3-5-4-2;105235960
1-4-3-5-2;105523237
1-5-3-4-2;105523237
1-4-5-3-2;105323460
1-5-4-3-2;105323460
2-1-3-4-5;105453479
2-1-3-5-4;105453479
2-1-4-3-5;105424630
2-1-5-3-4;105424630
2-1-4-5-3;105255318
2-1-5-4-3;105255318
3-1-2-4-5;105778260
3-1-2-5-4;105778260
4-1-2-3-5;105861663
5-1-2-3-4;105861663
4-1-2-5-3;105742874
5-1-2-4-3;105742874
3-1-4-2-5;105490827
3-1-5-2-4;105490827
4-1-3-2-5;105639855
5-1-3-2-4;105639855
4-1-5-2-3;105451132
5-1-4-2-3;105451132
3-1-4-5-2;105323948
3-1-5-4-2;105323948
4-1-3-5-2;105589034
5-1-3-4-2;105589034
4-1-5-3-2;105269739
5-1-4-3-2;105269739
2-3-1-4-5;105872306
2-3-1-5-4;105872306
2-4-1-3-5;105813542
2-5-1-3-4;105813542
2-4-1-5-3;105798620
2-5-1-4-3;105798620
3-2-1-4-5;105902526
3-2-1-5-4;105902526
4-2-1-3-5;105934870
5-2-1-3-4;105934870
4-2-1-5-3;105867177
5-2-1-4-3;105867177
3-4-1-2-5;105896016
3-5-1-2-4;105896016
4-3-1-2-5;105942267
5-3-1-2-4;105942267
4-5-1-2-3;105834243
5-4-1-2-3;105834243
3-4-1-5-2;105746796
3-5-1-4-2;105746796
4-3-1-5-2;105807122
5-3-1-4-2;105807122
4-5-1-3-2;105764345
5-4-1-3-2;105764345
2-3-4-1-5;105559658
2-3-5-1-4;105559658
2-4-3-1-5;105594259
2-5-3-1-4;105594259
2-4-5-1-3;105537485
2-5-4-1-3;105537485
3-2-4-1-5;105573227
3-2-5-1-4;105573227
4-2-3-1-5;105704316
5-2-3-1-4;105704316
4-2-5-1-3;105533463
5-2-4-1-3;105533463
3-4-2-1-5;105844479
3-5-2-1-4;105844479
4-3-2-1-5;105868859
5-3-2-1-4;105868859
4-5-2-1-3;105782853
5-4-2-1-3;105782853
3-4-5-1-2;105586487
3-5-4-1-2;105586487
4-3-5-1-2;105482688
5-3-4-1-2;105482688
4-5-3-1-2;105794512
5-4-3-1-2;105794512
2-3-4-5-1;105253839
2-3-5-4-1;105253839
2-4-3-5-1;105561261
2-5-3-4-1;105561261
2-4-5-3-1;105361403
2-5-4-3-1;105361403
3-2-4-5-1;105297918
3-2-5-4-1;105297918
4-2-3-5-1;105582825
5-2-3-4-1;105582825
4-2-5-3-1;105262307
5-2-4-3-1;105262307
3-4-2-5-1;105591342
3-5-2-4-1;105591342
4-3-2-5-1;105650067
5-3-2-4-1;105650067
4-5-2-3-1;105643135
5-4-2-3-1;105643135
3-4-5-2-1;105439900
3-5-4-2-1;105439900
4-3-5-2-1;105338864
5-3-4-2-1;105338864
4-5-3-2-1;105652243
5-4-3-2-1;105652243
