;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.57174
1-2-3-5-4;0.57174
1-2-4-3-5;0.59167
1-2-5-3-4;0.59167
1-2-4-5-3;0.59198
1-2-5-4-3;0.59198
1-3-2-4-5;0.57174
1-3-2-5-4;0.57174
1-4-2-3-5;0.57857
1-5-2-3-4;0.57857
1-4-2-5-3;0.57857
1-5-2-4-3;0.57857
1-3-4-2-5;0.59130
1-3-5-2-4;0.59130
1-4-3-2-5;0.61094
1-5-3-2-4;0.61094
1-4-5-2-3;0.61094
1-5-4-2-3;0.61094
1-3-4-5-2;0.60156
1-3-5-4-2;0.60156
1-4-3-5-2;0.60156
1-5-3-4-2;0.60156
1-4-5-3-2;0.60163
1-5-4-3-2;0.60163
2-1-3-4-5;0.57826
2-1-3-5-4;0.57826
2-1-4-3-5;0.60000
2-1-5-3-4;0.60000
2-1-4-5-3;0.59906
2-1-5-4-3;0.59906
3-1-2-4-5;0.57826
3-1-2-5-4;0.57826
4-1-2-3-5;0.57826
5-1-2-3-4;0.57826
4-1-2-5-3;0.57826
5-1-2-4-3;0.57826
3-1-4-2-5;0.60000
3-1-5-2-4;0.60000
4-1-3-2-5;0.60000
5-1-3-2-4;0.60000
4-1-5-2-3;0.60000
5-1-4-2-3;0.60000
3-1-4-5-2;0.59906
3-1-5-4-2;0.59906
4-1-3-5-2;0.59906
5-1-3-4-2;0.59906
4-1-5-3-2;0.59906
5-1-4-3-2;0.59906
2-3-1-4-5;0.56651
2-3-1-5-4;0.56651
2-4-1-3-5;0.57323
2-5-1-3-4;0.57323
2-4-1-5-3;0.57323
2-5-1-4-3;0.57323
3-2-1-4-5;0.56651
3-2-1-5-4;0.56651
4-2-1-3-5;0.56651
5-2-1-3-4;0.56651
4-2-1-5-3;0.56651
5-2-1-4-3;0.56651
3-4-1-2-5;0.56818
3-5-1-2-4;0.56818
4-3-1-2-5;0.56193
5-3-1-2-4;0.56193
4-5-1-2-3;0.56793
5-4-1-2-3;0.56793
3-4-1-5-2;0.57323
3-5-1-4-2;0.57323
4-3-1-5-2;0.56651
5-3-1-4-2;0.56651
4-5-1-3-2;0.57337
5-4-1-3-2;0.57337
2-3-4-1-5;0.60000
2-3-5-1-4;0.60000
2-4-3-1-5;0.62006
2-5-3-1-4;0.62006
2-4-5-1-3;0.62006
2-5-4-1-3;0.62006
3-2-4-1-5;0.59722
3-2-5-1-4;0.59722
4-2-3-1-5;0.59722
5-2-3-1-4;0.59722
4-2-5-1-3;0.59722
5-2-4-1-3;0.59722
3-4-2-1-5;0.59688
3-5-2-1-4;0.59688
4-3-2-1-5;0.58611
5-3-2-1-4;0.58611
4-5-2-1-3;0.59932
5-4-2-1-3;0.59932
3-4-5-1-2;0.61398
3-5-4-1-2;0.61398
4-3-5-1-2;0.59896
5-3-4-1-2;0.59896
4-5-3-1-2;0.58025
5-4-3-1-2;0.58025
2-3-4-5-1;0.60938
2-3-5-4-1;0.60938
2-4-3-5-1;0.60938
2-5-3-4-1;0.60938
2-4-5-3-1;0.60976
2-5-4-3-1;0.60976
3-2-4-5-1;0.59906
3-2-5-4-1;0.59906
4-2-3-5-1;0.59906
5-2-3-4-1;0.59906
4-2-5-3-1;0.59906
5-2-4-3-1;0.59906
3-4-2-5-1;0.58163
3-5-2-4-1;0.58163
4-3-2-5-1;0.57407
5-3-2-4-1;0.57407
4-5-2-3-1;0.58242
5-4-2-3-1;0.58242
3-4-5-2-1;0.60434
3-5-4-2-1;0.60434
4-3-5-2-1;0.59198
5-3-4-2-1;0.59198
4-5-3-2-1;0.57418
5-4-3-2-1;0.57418
