;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.511;0.511
0-1-0-0-0;0.537;0.537
0-0-1-0-0;0.550;0.550
0-0-0-1-0;0.528;0.528
0-0-0-0-1;0.522;0.522
1-2-0-0-0;0.543;0.543
1-0-2-0-0;0.559;0.559
1-0-0-2-0;0.547;0.547
1-0-0-0-2;0.543;0.543
0-1-2-0-0;0.566;0.566
0-1-0-2-0;0.558;0.558
0-1-0-0-2;0.551;0.551
0-0-1-2-0;0.559;0.559
0-0-1-0-2;0.558;0.558
0-0-0-1-2;0.547;0.547
1-2-3-0-0;0.553;0.553
1-2-0-3-0;0.550;0.550
1-2-0-0-3;0.548;0.548
1-0-2-3-0;0.559;0.559
1-0-2-0-3;0.557;0.557
1-0-0-2-3;0.550;0.550
0-1-2-3-0;0.563;0.563
0-1-2-0-3;0.561;0.561
0-1-0-2-3;0.554;0.554
0-0-1-2-3;0.559;0.559
1-2-3-4-0;0.568;0.568
1-2-3-0-4;0.563;0.563
1-2-0-3-4;0.561;0.561
1-0-2-3-4;0.566;0.566
0-1-2-3-4;0.570;0.570
1-2-3-4-5;0.565;0.565
