;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.57687;0.57687
0-1-0-0-0;0.57484;0.57484
0-0-1-0-0;0.60668;0.60668
0-0-0-1-0;0.59656;0.59656
0-0-0-0-1;0.59813;0.59813
1-2-0-0-0;0.57908;0.57908
1-0-2-0-0;0.59917;0.59917
1-0-0-2-0;0.59736;0.59736
1-0-0-0-2;0.59548;0.59548
0-1-2-0-0;0.58853;0.58853
0-1-0-2-0;0.58998;0.58998
0-1-0-0-2;0.58578;0.58578
0-0-1-2-0;0.60914;0.60914
0-0-1-0-2;0.60888;0.60888
0-0-0-1-2;0.61083;0.61083
1-2-3-0-0;0.58709;0.58709
1-2-0-3-0;0.58918;0.58918
1-2-0-0-3;0.58810;0.58810
1-0-2-3-0;0.60675;0.60675
1-0-2-0-3;0.60614;0.60614
1-0-0-2-3;0.60395;0.60395
0-1-2-3-0;0.60059;0.60059
0-1-2-0-3;0.59831;0.59831
0-1-0-2-3;0.59782;0.59782
0-0-1-2-3;0.61265;0.61265
1-2-3-4-0;0.59587;0.59587
1-2-3-0-4;0.59447;0.59447
1-2-0-3-4;0.59447;0.59447
1-0-2-3-4;0.60714;0.60714
0-1-2-3-4;0.59937;0.59937
1-2-3-4-5;0.60161;0.60161
