;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;4029;4029
0-1-0-0-0;4148;4148
0-0-1-0-0;4151;4151
0-0-0-1-0;3955;3955
0-0-0-0-1;3947;3947
1-2-0-0-0;4283;4283
1-0-2-0-0;4370;4370
1-0-0-2-0;4300;4300
1-0-0-0-2;4279;4279
0-1-2-0-0;4401;4401
0-1-0-2-0;4362;4362
0-1-0-0-2;4325;4325
0-0-1-2-0;4290;4290
0-0-1-0-2;4285;4285
0-0-0-1-2;4193;4193
1-2-3-0-0;4243;4243
1-2-0-3-0;4231;4231
1-2-0-0-3;4246;4246
1-0-2-3-0;4319;4319
1-0-2-0-3;4323;4323
1-0-0-2-3;4247;4247
0-1-2-3-0;4353;4353
0-1-2-0-3;4358;4358
0-1-0-2-3;4300;4300
0-0-1-2-3;4265;4265
1-2-3-4-0;4418;4418
1-2-3-0-4;4422;4422
1-2-0-3-4;4385;4385
1-0-2-3-4;4408;4408
0-1-2-3-4;4433;4433
1-2-3-4-5;4378;4378
