;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.16064;0.16064
0-1-0-0-0;0.19026;0.19026
0-0-1-0-0;0.14842;0.14842
0-0-0-1-0;0.11626;0.11626
0-0-0-0-1;0.11350;0.11350
1-2-0-0-0;0.21092;0.21092
1-0-2-0-0;0.20195;0.20195
1-0-0-2-0;0.18860;0.18860
1-0-0-0-2;0.18728;0.18728
0-1-2-0-0;0.22203;0.22203
0-1-0-2-0;0.21103;0.21103
0-1-0-0-2;0.21009;0.21009
0-0-1-2-0;0.17355;0.17355
0-0-1-0-2;0.17240;0.17240
0-0-0-1-2;0.14939;0.14939
1-2-3-0-0;0.19245;0.19245
1-2-0-3-0;0.18695;0.18695
1-2-0-0-3;0.19124;0.19124
1-0-2-3-0;0.18126;0.18126
1-0-2-0-3;0.18283;0.18283
1-0-0-2-3;0.16906;0.16906
0-1-2-3-0;0.19647;0.19647
0-1-2-0-3;0.20024;0.20024
0-1-0-2-3;0.18872;0.18872
0-0-1-2-3;0.16347;0.16347
1-2-3-4-0;0.21528;0.21528
1-2-3-0-4;0.21765;0.21765
1-2-0-3-4;0.20998;0.20998
1-0-2-3-4;0.19885;0.19885
0-1-2-3-4;0.21363;0.21363
1-2-3-4-5;0.20013;0.20013
