;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.16521;0.16521
0-1-0-0-0;0.19300;0.19300
0-0-1-0-0;0.15183;0.15183
0-0-0-1-0;0.12011;0.12011
0-0-0-0-1;0.11703;0.11703
1-2-0-0-0;0.21435;0.21435
1-0-2-0-0;0.20592;0.20592
1-0-0-2-0;0.19382;0.19382
1-0-0-0-2;0.19217;0.19217
0-1-2-0-0;0.22498;0.22498
0-1-0-2-0;0.21424;0.21424
0-1-0-0-2;0.21368;0.21368
0-0-1-2-0;0.17819;0.17819
0-0-1-0-2;0.17636;0.17636
0-0-0-1-2;0.15402;0.15402
1-2-3-0-0;0.19661;0.19661
1-2-0-3-0;0.19100;0.19100
1-2-0-0-3;0.19510;0.19510
1-0-2-3-0;0.18566;0.18566
1-0-2-0-3;0.18661;0.18661
1-0-0-2-3;0.17440;0.17440
0-1-2-3-0;0.20043;0.20043
0-1-2-0-3;0.20410;0.20410
0-1-0-2-3;0.19300;0.19300
0-0-1-2-3;0.16797;0.16797
1-2-3-4-0;0.21921;0.21921
1-2-3-0-4;0.22129;0.22129
1-2-0-3-4;0.21424;0.21424
1-0-2-3-4;0.20319;0.20319
0-1-2-3-4;0.21778;0.21778
1-2-3-4-5;0.20421;0.20421
