;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;39;39
0-1-0-0-0;59;59
0-0-1-0-0;39;39
0-0-0-1-0;24;24
0-0-0-0-1;22;22
1-2-0-0-0;68;68
1-0-2-0-0;62;62
1-0-0-2-0;46;46
1-0-0-0-2;45;45
0-1-2-0-0;77;77
0-1-0-2-0;68;68
0-1-0-0-2;67;67
0-0-1-2-0;43;43
0-0-1-0-2;46;46
0-0-0-1-2;31;31
1-2-3-0-0;54;54
1-2-0-3-0;54;54
1-2-0-0-3;57;57
1-0-2-3-0;48;48
1-0-2-0-3;54;54
1-0-0-2-3;37;37
0-1-2-3-0;58;58
0-1-2-0-3;59;59
0-1-0-2-3;51;51
0-0-1-2-3;39;39
1-2-3-4-0;69;69
1-2-3-0-4;71;71
1-2-0-3-4;61;61
1-0-2-3-4;56;56
0-1-2-3-4;62;62
1-2-3-4-5;56;56
