;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.26248;0.26248
0-1-0-0-0;0.23490;0.23490
0-0-1-0-0;0.24490;0.24490
0-0-0-1-0;0.28717;0.28717
0-0-0-0-1;0.28837;0.28837
1-2-0-0-0;0.21000;0.21000
1-0-2-0-0;0.19888;0.19888
1-0-0-2-0;0.21403;0.21403
1-0-0-0-2;0.21724;0.21724
0-1-2-0-0;0.18944;0.18944
0-1-0-2-0;0.19900;0.19900
0-1-0-0-2;0.20413;0.20413
0-0-1-2-0;0.21731;0.21731
0-0-1-0-2;0.21872;0.21872
0-0-0-1-2;0.23977;0.23977
1-2-3-0-0;0.22046;0.22046
1-2-0-3-0;0.22387;0.22387
1-2-0-0-3;0.22066;0.22066
1-0-2-3-0;0.21199;0.21199
1-0-2-0-3;0.21104;0.21104
1-0-0-2-3;0.22699;0.22699
0-1-2-3-0;0.20294;0.20294
0-1-2-0-3;0.20145;0.20145
0-1-0-2-3;0.21346;0.21346
0-0-1-2-3;0.22389;0.22389
1-2-3-4-0;0.18885;0.18885
1-2-3-0-4;0.18789;0.18789
1-2-0-3-4;0.19555;0.19555
1-0-2-3-4;0.19401;0.19401
0-1-2-3-4;0.18701;0.18701
1-2-3-4-5;0.19826;0.19826
