;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.65603;0.65603
0-1-0-0-0;0.65375;0.65375
0-0-1-0-0;0.68215;0.68215
0-0-0-1-0;0.67524;0.67524
0-0-0-0-1;0.67075;0.67075
1-2-0-0-0;0.65125;0.65125
1-0-2-0-0;0.66659;0.66659
1-0-0-2-0;0.66351;0.66351
1-0-0-0-2;0.66181;0.66181
0-1-2-0-0;0.65916;0.65916
0-1-0-2-0;0.65959;0.65959
0-1-0-0-2;0.65589;0.65589
0-0-1-2-0;0.67620;0.67620
0-0-1-0-2;0.67425;0.67425
0-0-0-1-2;0.67579;0.67579
1-2-3-0-0;0.66481;0.66481
1-2-0-3-0;0.66592;0.66592
1-2-0-0-3;0.66323;0.66323
1-0-2-3-0;0.68134;0.68134
1-0-2-0-3;0.67733;0.67733
1-0-0-2-3;0.67649;0.67649
0-1-2-3-0;0.67674;0.67674
0-1-2-0-3;0.67253;0.67253
0-1-0-2-3;0.67227;0.67227
0-0-1-2-3;0.68543;0.68543
1-2-3-4-0;0.66775;0.66775
1-2-3-0-4;0.66487;0.66487
1-2-0-3-4;0.66379;0.66379
1-0-2-3-4;0.67457;0.67457
0-1-2-3-4;0.67033;0.67033
1-2-3-4-5;0.67421;0.67421
