;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.68270;0.68270
0-1-0-0-0;0.68029;0.68029
0-0-1-0-0;0.70779;0.70779
0-0-0-1-0;0.70211;0.70211
0-0-0-0-1;0.69731;0.69731
1-2-0-0-0;0.67668;0.67668
1-0-2-0-0;0.69041;0.69041
1-0-0-2-0;0.68772;0.68772
1-0-0-0-2;0.68651;0.68651
0-1-2-0-0;0.68371;0.68371
0-1-0-2-0;0.68505;0.68505
0-1-0-0-2;0.68117;0.68117
0-0-1-2-0;0.70020;0.70020
0-0-1-0-2;0.69858;0.69858
0-0-0-1-2;0.70096;0.70096
1-2-3-0-0;0.69010;0.69010
1-2-0-3-0;0.69175;0.69175
1-2-0-0-3;0.68887;0.68887
1-0-2-3-0;0.70609;0.70609
1-0-2-0-3;0.70218;0.70218
1-0-0-2-3;0.70168;0.70168
0-1-2-3-0;0.70201;0.70201
0-1-2-0-3;0.69740;0.69740
0-1-0-2-3;0.69756;0.69756
0-0-1-2-3;0.71040;0.71040
1-2-3-4-0;0.69192;0.69192
1-2-3-0-4;0.68906;0.68906
1-2-0-3-4;0.68820;0.68820
1-0-2-3-4;0.69812;0.69812
0-1-2-3-4;0.69435;0.69435
1-2-3-4-5;0.69868;0.69868
