;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;9660240;9660240
0-1-0-0-0;9369945;9369945
0-0-1-0-0;8539959;8539959
0-0-0-1-0;9006559;9006559
0-0-0-0-1;8460019;8460019
1-2-0-0-0;8039247;8039247
1-0-2-0-0;7114896;7114896
1-0-0-2-0;7379038;7379038
1-0-0-0-2;7189725;7189725
0-1-2-0-0;7210736;7210736
0-1-0-2-0;7596709;7596709
0-1-0-0-2;7225299;7225299
0-0-1-2-0;7040045;7040045
0-0-1-0-2;6811187;6811187
0-0-0-1-2;6958903;6958903
1-2-3-0-0;8871680;8871680
1-2-0-3-0;9053879;9053879
1-2-0-0-3;8856924;8856924
1-0-2-3-0;8647983;8647983
1-0-2-0-3;8509500;8509500
1-0-0-2-3;8776711;8776711
0-1-2-3-0;8837063;8837063
0-1-2-0-3;8541334;8541334
0-1-0-2-3;8809068;8809068
0-0-1-2-3;8381401;8381401
1-2-3-4-0;7969731;7969731
1-2-3-0-4;7795137;7795137
1-2-0-3-4;7950352;7950352
1-0-2-3-4;7694488;7694488
0-1-2-3-4;7786313;7786313
1-2-3-4-5;8642036;8642036
