;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;9659775;9659775
0-1-0-0-0;9369220;9369220
0-0-1-0-0;8539150;8539150
0-0-0-1-0;9006020;9006020
0-0-0-0-1;8459351;8459351
1-2-0-0-0;8038598;8038598
1-0-2-0-0;7114153;7114153
1-0-0-2-0;7378452;7378452
1-0-0-0-2;7189122;7189122
0-1-2-0-0;7209879;7209879
0-1-0-2-0;7596064;7596064
0-1-0-0-2;7224600;7224600
0-0-1-2-0;7039300;7039300
0-0-1-0-2;6810419;6810419
0-0-0-1-2;6958256;6958256
1-2-3-0-0;8870969;8870969
1-2-0-3-0;9053211;9053211
1-2-0-0-3;8856241;8856241
1-0-2-3-0;8647244;8647244
1-0-2-0-3;8508771;8508771
1-0-0-2-3;8776065;8776065
0-1-2-3-0;8836229;8836229
0-1-2-0-3;8540494;8540494
0-1-0-2-3;8808321;8808321
0-0-1-2-3;8380581;8380581
1-2-3-4-0;7968910;7968910
1-2-3-0-4;7794334;7794334
1-2-0-3-4;7949596;7949596
1-0-2-3-4;7693660;7693660
0-1-2-3-4;7785430;7785430
1-2-3-4-5;8641191;8641191
