;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;8;8
0-1-0-0-0;21;21
0-0-1-0-0;7;7
0-0-0-1-0;0;0
0-0-0-0-1;8;8
1-2-0-0-0;8;8
1-0-2-0-0;8;8
1-0-0-2-0;3;3
1-0-0-0-2;11;11
0-1-2-0-0;12;12
0-1-0-2-0;6;6
0-1-0-0-2;17;17
0-0-1-2-0;8;8
0-0-1-0-2;7;7
0-0-0-1-2;8;8
1-2-3-0-0;8;8
1-2-0-3-0;8;8
1-2-0-0-3;6;6
1-0-2-3-0;12;12
1-0-2-0-3;10;10
1-0-0-2-3;3;3
0-1-2-3-0;14;14
0-1-2-0-3;12;12
0-1-0-2-3;5;5
0-0-1-2-3;11;11
1-2-3-4-0;14;14
1-2-3-0-4;12;12
1-2-0-3-4;6;6
1-0-2-3-4;15;15
0-1-2-3-4;15;15
1-2-3-4-5;15;15
