;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;605;605
0-1-0-0-0;845;845
0-0-1-0-0;971;971
0-0-0-1-0;701;701
0-0-0-0-1;767;767
1-2-0-0-0;773;773
1-0-2-0-0;935;935
1-0-0-2-0;746;746
1-0-0-0-2;726;726
0-1-2-0-0;1024;1024
0-1-0-2-0;833;833
0-1-0-0-2;826;826
0-0-1-2-0;920;920
0-0-1-0-2;943;943
0-0-0-1-2;812;812
1-2-3-0-0;813;813
1-2-0-3-0;787;787
1-2-0-0-3;800;800
1-0-2-3-0;888;888
1-0-2-0-3;883;883
1-0-0-2-3;783;783
0-1-2-3-0;974;974
0-1-2-0-3;980;980
0-1-0-2-3;890;890
0-0-1-2-3;979;979
1-2-3-4-0;979;979
1-2-3-0-4;948;948
1-2-0-3-4;905;905
1-0-2-3-4;978;978
0-1-2-3-4;1041;1041
1-2-3-4-5;981;981
