;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;14;14
0-1-0-0-0;35;35
0-0-1-0-0;18;18
0-0-0-1-0;14;14
0-0-0-0-1;29;29
1-2-0-0-0;24;24
1-0-2-0-0;21;21
1-0-0-2-0;15;15
1-0-0-0-2;31;31
0-1-2-0-0;33;33
0-1-0-2-0;22;22
0-1-0-0-2;41;41
0-0-1-2-0;19;19
0-0-1-0-2;21;21
0-0-0-1-2;23;23
1-2-3-0-0;25;25
1-2-0-3-0;24;24
1-2-0-0-3;27;27
1-0-2-3-0;25;25
1-0-2-0-3;27;27
1-0-0-2-3;19;19
0-1-2-3-0;26;26
0-1-2-0-3;34;34
0-1-0-2-3;29;29
0-0-1-2-3;27;27
1-2-3-4-0;25;25
1-2-3-0-4;31;31
1-2-0-3-4;28;28
1-0-2-3-4;31;31
0-1-2-3-4;37;37
1-2-3-4-5;37;37
