;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;7604238;7604238
0-1-0-0-0;7556280;7556280
0-0-1-0-0;6926978;6926978
0-0-0-1-0;7457143;7457143
0-0-0-0-1;6838661;6838661
1-2-0-0-0;9342870;9342870
1-0-2-0-0;9287251;9287251
1-0-0-2-0;9613918;9613918
1-0-0-0-2;9210855;9210855
0-1-2-0-0;9206551;9206551
0-1-0-2-0;9530552;9530552
0-1-0-0-2;9142359;9142359
0-0-1-2-0;9092444;9092444
0-0-1-0-2;8625364;8625364
0-0-0-1-2;9216672;9216672
1-2-3-0-0;7274177;7274177
1-2-0-3-0;7437790;7437790
1-2-0-0-3;7310456;7310456
1-0-2-3-0;7168453;7168453
1-0-2-0-3;6981581;6981581
1-0-0-2-3;7171021;7171021
0-1-2-3-0;7210273;7210273
0-1-2-0-3;7024725;7024725
0-1-0-2-3;7203676;7203676
0-0-1-2-3;6955413;6955413
1-2-3-4-0;8313450;8313450
1-2-3-0-4;8159975;8159975
1-2-0-3-4;8215996;8215996
1-0-2-3-4;8018177;8018177
0-1-2-3-4;8108142;8108142
1-2-3-4-5;7054830;7054830
