;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1753;1753
0-1-0-0-0;2030;2030
0-0-1-0-0;1631;1631
0-0-0-1-0;1359;1359
0-0-0-0-1;1330;1330
1-2-0-0-0;2470;2470
1-0-2-0-0;2412;2412
1-0-0-2-0;2301;2301
1-0-0-0-2;2237;2237
0-1-2-0-0;2621;2621
0-1-0-2-0;2512;2512
0-1-0-0-2;2445;2445
0-0-1-2-0;2109;2109
0-0-1-0-2;2095;2095
0-0-0-1-2;1892;1892
1-2-3-0-0;2087;2087
1-2-0-3-0;2029;2029
1-2-0-0-3;2106;2106
1-0-2-3-0;1969;1969
1-0-2-0-3;2037;2037
1-0-0-2-3;1895;1895
0-1-2-3-0;2128;2128
0-1-2-0-3;2188;2188
0-1-0-2-3;2074;2074
0-0-1-2-3;1823;1823
1-2-3-4-0;2477;2477
1-2-3-0-4;2522;2522
1-2-0-3-4;2443;2443
1-0-2-3-4;2332;2332
0-1-2-3-4;2473;2473
1-2-3-4-5;2213;2213
