;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;59;59
0-1-0-0-0;91;91
0-0-1-0-0;67;67
0-0-0-1-0;44;44
0-0-0-0-1;40;40
1-2-0-0-0;111;111
1-0-2-0-0;98;98
1-0-0-2-0;79;79
1-0-0-0-2;77;77
0-1-2-0-0;125;125
0-1-0-2-0;113;113
0-1-0-0-2;105;105
0-0-1-2-0;80;80
0-0-1-0-2;78;78
0-0-0-1-2;61;61
1-2-3-0-0;81;81
1-2-0-3-0;85;85
1-2-0-0-3;85;85
1-0-2-3-0;76;76
1-0-2-0-3;83;83
1-0-0-2-3;62;62
0-1-2-3-0;95;95
0-1-2-0-3;91;91
0-1-0-2-3;80;80
0-0-1-2-3;71;71
1-2-3-4-0;111;111
1-2-3-0-4;109;109
1-2-0-3-4;96;96
1-0-2-3-4;91;91
0-1-2-3-4;103;103
1-2-3-4-5;88;88
