;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.451;0.451
0-1-0-0-0;0.460;0.460
0-0-1-0-0;0.478;0.478
0-0-0-1-0;0.451;0.451
0-0-0-0-1;0.460;0.460
1-2-0-0-0;0.472;0.472
1-0-2-0-0;0.486;0.486
1-0-0-2-0;0.472;0.472
1-0-0-0-2;0.476;0.476
0-1-2-0-0;0.490;0.490
0-1-0-2-0;0.478;0.478
0-1-0-0-2;0.478;0.478
0-0-1-2-0;0.483;0.483
0-0-1-0-2;0.486;0.486
0-0-0-1-2;0.475;0.475
1-2-3-0-0;0.479;0.479
1-2-0-3-0;0.476;0.476
1-2-0-0-3;0.478;0.478
1-0-2-3-0;0.487;0.487
1-0-2-0-3;0.488;0.488
1-0-0-2-3;0.480;0.480
0-1-2-3-0;0.487;0.487
0-1-2-0-3;0.489;0.489
0-1-0-2-3;0.481;0.481
0-0-1-2-3;0.488;0.488
1-2-3-4-0;0.492;0.492
1-2-3-0-4;0.493;0.493
1-2-0-3-4;0.488;0.488
1-0-2-3-4;0.494;0.494
0-1-2-3-4;0.495;0.495
1-2-3-4-5;0.492;0.492
