;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.20655;0.20655
0-1-0-0-0;0.19050;0.19050
0-0-1-0-0;0.18876;0.18876
0-0-0-1-0;0.21483;0.21483
0-0-0-0-1;0.22142;0.22142
1-2-0-0-0;0.16543;0.16543
1-0-2-0-0;0.15362;0.15362
1-0-0-2-0;0.16355;0.16355
1-0-0-0-2;0.16925;0.16925
0-1-2-0-0;0.14848;0.14848
0-1-0-2-0;0.15456;0.15456
0-1-0-0-2;0.16232;0.16232
0-0-1-2-0;0.16297;0.16297
0-0-1-0-2;0.16581;0.16581
0-0-0-1-2;0.17750;0.17750
1-2-3-0-0;0.17577;0.17577
1-2-0-3-0;0.17839;0.17839
1-2-0-0-3;0.17613;0.17613
1-0-2-3-0;0.16689;0.16689
1-0-2-0-3;0.16647;0.16647
1-0-0-2-3;0.17660;0.17660
0-1-2-3-0;0.16121;0.16121
0-1-2-0-3;0.16161;0.16161
0-1-0-2-3;0.16914;0.16914
0-0-1-2-3;0.17245;0.17245
1-2-3-4-0;0.14851;0.14851
1-2-3-0-4;0.14868;0.14868
1-2-0-3-4;0.15453;0.15453
1-0-2-3-4;0.15057;0.15057
0-1-2-3-4;0.14617;0.14617
1-2-3-4-5;0.15836;0.15836
