;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.67647;0.67647
0-1-0-0-0;0.59283;0.59283
0-0-1-0-0;0.58000;0.58000
0-0-0-1-0;0.67681;0.67681
0-0-0-0-1;0.68085;0.68085
1-2-0-0-0;0.54453;0.54453
1-0-2-0-0;0.51767;0.51767
1-0-0-2-0;0.57359;0.57359
1-0-0-0-2;0.58913;0.58913
0-1-2-0-0;0.48425;0.48425
0-1-0-2-0;0.52621;0.52621
0-1-0-0-2;0.54918;0.54918
0-0-1-2-0;0.53996;0.53996
0-0-1-0-2;0.54881;0.54881
0-0-0-1-2;0.60586;0.60586
1-2-3-0-0;0.58405;0.58405
1-2-0-3-0;0.58333;0.58333
1-2-0-0-3;0.58120;0.58120
1-0-2-3-0;0.56209;0.56209
1-0-2-0-3;0.55150;0.55150
1-0-0-2-3;0.60674;0.60674
0-1-2-3-0;0.53347;0.53347
0-1-2-0-3;0.54008;0.54008
0-1-0-2-3;0.57235;0.57235
0-0-1-2-3;0.56167;0.56167
1-2-3-4-0;0.49595;0.49595
1-2-3-0-4;0.50407;0.50407
1-2-0-3-4;0.53445;0.53445
1-0-2-3-4;0.51266;0.51266
0-1-2-3-4;0.50206;0.50206
1-2-3-4-5;0.53503;0.53503
