;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.43740;0.43740
0-1-0-0-0;0.43768;0.43768
0-0-1-0-0;0.44071;0.44071
0-0-0-1-0;0.43825;0.43825
0-0-0-0-1;0.43951;0.43951
1-2-0-0-0;0.43072;0.43072
1-0-2-0-0;0.43086;0.43086
1-0-0-2-0;0.42949;0.42949
1-0-0-0-2;0.43072;0.43072
0-1-2-0-0;0.43114;0.43114
0-1-0-2-0;0.43026;0.43026
0-1-0-0-2;0.43076;0.43076
0-0-1-2-0;0.43152;0.43152
0-0-1-0-2;0.43348;0.43348
0-0-0-1-2;0.43114;0.43114
1-2-3-0-0;0.43948;0.43948
1-2-0-3-0;0.43896;0.43896
1-2-0-0-3;0.43945;0.43945
1-0-2-3-0;0.44036;0.44036
1-0-2-0-3;0.44150;0.44150
1-0-0-2-3;0.44027;0.44027
0-1-2-3-0;0.44014;0.44014
0-1-2-0-3;0.44068;0.44068
0-1-0-2-3;0.44001;0.44001
0-0-1-2-3;0.44089;0.44089
1-2-3-4-0;0.43531;0.43531
1-2-3-0-4;0.43614;0.43614
1-2-0-3-4;0.43570;0.43570
1-0-2-3-4;0.43665;0.43665
0-1-2-3-4;0.43646;0.43646
1-2-3-4-5;0.44092;0.44092
