;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.43741;0.43741
0-1-0-0-0;0.43768;0.43768
0-0-1-0-0;0.44072;0.44072
0-0-0-1-0;0.43825;0.43825
0-0-0-0-1;0.43952;0.43952
1-2-0-0-0;0.43072;0.43072
1-0-2-0-0;0.43087;0.43087
1-0-0-2-0;0.42949;0.42949
1-0-0-0-2;0.43073;0.43073
0-1-2-0-0;0.43114;0.43114
0-1-0-2-0;0.43026;0.43026
0-1-0-0-2;0.43076;0.43076
0-0-1-2-0;0.43152;0.43152
0-0-1-0-2;0.43349;0.43349
0-0-0-1-2;0.43114;0.43114
1-2-3-0-0;0.43949;0.43949
1-2-0-3-0;0.43897;0.43897
1-2-0-0-3;0.43946;0.43946
1-0-2-3-0;0.44037;0.44037
1-0-2-0-3;0.44151;0.44151
1-0-0-2-3;0.44027;0.44027
0-1-2-3-0;0.44014;0.44014
0-1-2-0-3;0.44069;0.44069
0-1-0-2-3;0.44002;0.44002
0-0-1-2-3;0.44089;0.44089
1-2-3-4-0;0.43531;0.43531
1-2-3-0-4;0.43615;0.43615
1-2-0-3-4;0.43570;0.43570
1-0-2-3-4;0.43665;0.43665
0-1-2-3-4;0.43646;0.43646
1-2-3-4-5;0.44093;0.44093
