;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;93416070;93416070
0-1-0-0-0;93517811;93517811
0-0-1-0-0;95184202;95184202
0-0-0-1-0;93727644;93727644
0-0-0-0-1;93306540;93306540
1-2-0-0-0;93089633;93089633
1-0-2-0-0;93791987;93791987
1-0-0-2-0;93150473;93150473
1-0-0-0-2;93066206;93066206
0-1-2-0-0;93904553;93904553
0-1-0-2-0;93660658;93660658
0-1-0-0-2;93027822;93027822
0-0-1-2-0;93910055;93910055
0-0-1-0-2;94204042;94204042
0-0-0-1-2;93370474;93370474
1-2-3-0-0;94455099;94455099
1-2-0-3-0;94544057;94544057
1-2-0-0-3;94547961;94547961
1-0-2-3-0;95580558;95580558
1-0-2-0-3;95678811;95678811
1-0-0-2-3;95178371;95178371
0-1-2-3-0;95641346;95641346
0-1-2-0-3;95363152;95363152
0-1-0-2-3;95124396;95124396
0-0-1-2-3;95632232;95632232
1-2-3-4-0;94845548;94845548
1-2-3-0-4;94833416;94833416
1-2-0-3-4;94472669;94472669
1-0-2-3-4;95177671;95177671
0-1-2-3-4;95311796;95311796
1-2-3-4-5;95549898;95549898
