;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;93415691;93415691
0-1-0-0-0;93517431;93517431
0-0-1-0-0;95183797;95183797
0-0-0-1-0;93727195;93727195
0-0-0-0-1;93306249;93306249
1-2-0-0-0;93089208;93089208
1-0-2-0-0;93791523;93791523
1-0-0-2-0;93149981;93149981
1-0-0-0-2;93065801;93065801
0-1-2-0-0;93904109;93904109
0-1-0-2-0;93660141;93660141
0-1-0-0-2;93027391;93027391
0-0-1-2-0;93909603;93909603
0-0-1-0-2;94203613;94203613
0-0-0-1-2;93370055;93370055
1-2-3-0-0;94454722;94454722
1-2-0-3-0;94543617;94543617
1-2-0-0-3;94547515;94547515
1-0-2-3-0;95580121;95580121
1-0-2-0-3;95678336;95678336
1-0-0-2-3;95177949;95177949
0-1-2-3-0;95640930;95640930
0-1-2-0-3;95362746;95362746
0-1-0-2-3;95123988;95123988
0-0-1-2-3;95631823;95631823
1-2-3-4-0;94845053;94845053
1-2-3-0-4;94832957;94832957
1-2-0-3-4;94472208;94472208
1-0-2-3-4;95177208;95177208
0-1-2-3-4;95311369;95311369
1-2-3-4-5;95549451;95549451
