;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;102890481;102890481
0-1-0-0-0;103226216;103226216
0-0-1-0-0;105329641;105329641
0-0-0-1-0;103680045;103680045
0-0-0-0-1;103692635;103692635
1-2-0-0-0;105657522;105657522
1-0-2-0-0;107492199;107492199
1-0-0-2-0;106745753;106745753
1-0-0-0-2;106603849;106603849
0-1-2-0-0;107486298;107486298
0-1-0-2-0;106899247;106899247
0-1-0-0-2;106570472;106570472
0-0-1-2-0;107587044;107587044
0-0-1-0-2;107680657;107680657
0-0-0-1-2;107024250;107024250
1-2-3-0-0;104324647;104324647
1-2-0-3-0;104345878;104345878
1-2-0-0-3;104435622;104435622
1-0-2-3-0;105653450;105653450
1-0-2-0-3;105545248;105545248
1-0-0-2-3;105058004;105058004
0-1-2-3-0;105613247;105613247
0-1-2-0-3;105473203;105473203
0-1-0-2-3;105051627;105051627
0-0-1-2-3;105942372;105942372
1-2-3-4-0;106755478;106755478
1-2-3-0-4;106649832;106649832
1-2-0-3-4;106194366;106194366
1-0-2-3-4;107084838;107084838
0-1-2-3-4;107171897;107171897
1-2-3-4-5;105460009;105460009
