;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;102893830;102893830
0-1-0-0-0;103229948;103229948
0-0-1-0-0;105333772;105333772
0-0-0-1-0;103684029;103684029
0-0-0-0-1;103696509;103696509
1-2-0-0-0;105661660;105661660
1-0-2-0-0;107496544;107496544
1-0-0-2-0;106750092;106750092
1-0-0-0-2;106608085;106608085
0-1-2-0-0;107490953;107490953
0-1-0-2-0;106903764;106903764
0-1-0-0-2;106574887;106574887
0-0-1-2-0;107591783;107591783
0-0-1-0-2;107684979;107684979
0-0-0-1-2;107028858;107028858
1-2-3-0-0;104328244;104328244
1-2-0-3-0;104349604;104349604
1-2-0-0-3;104439205;104439205
1-0-2-3-0;105657109;105657109
1-0-2-0-3;105549185;105549185
1-0-0-2-3;105061833;105061833
0-1-2-3-0;105617264;105617264
0-1-2-0-3;105477065;105477065
0-1-0-2-3;105055529;105055529
0-0-1-2-3;105946413;105946413
1-2-3-4-0;106759694;106759694
1-2-3-0-4;106654033;106654033
1-2-0-3-4;106198604;106198604
1-0-2-3-4;107089050;107089050
0-1-2-3-4;107176306;107176306
1-2-3-4-5;105463823;105463823
