;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;102887848;102887848
0-1-0-0-0;103222956;103222956
0-0-1-0-0;105325891;105325891
0-0-0-1-0;103677383;103677383
0-0-0-0-1;103689463;103689463
1-2-0-0-0;105653833;105653833
1-0-2-0-0;107487995;107487995
1-0-0-2-0;106742325;106742325
1-0-0-0-2;106600104;106600104
0-1-2-0-0;107482008;107482008
0-1-0-2-0;106895706;106895706
0-1-0-0-2;106566665;106566665
0-0-1-2-0;107583025;107583025
0-0-1-0-2;107676568;107676568
0-0-0-1-2;107020698;107020698
1-2-3-0-0;104320923;104320923
1-2-0-3-0;104342371;104342371
1-2-0-0-3;104432025;104432025
1-0-2-3-0;105649507;105649507
1-0-2-0-3;105541263;105541263
1-0-0-2-3;105054469;105054469
0-1-2-3-0;105609207;105609207
0-1-2-0-3;105469124;105469124
0-1-0-2-3;105047926;105047926
0-0-1-2-3;105938454;105938454
1-2-3-4-0;106751233;106751233
1-2-3-0-4;106645512;106645512
1-2-0-3-4;106190349;106190349
1-0-2-3-4;107080500;107080500
0-1-2-3-4;107167526;107167526
1-2-3-4-5;105455821;105455821
