;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.52742;0.52742
0-1-0-0-0;0.50868;0.50868
0-0-1-0-0;0.50977;0.50977
0-0-0-1-0;0.51038;0.51038
0-0-0-0-1;0.51642;0.51642
1-2-0-0-0;0.52938;0.52938
1-0-2-0-0;0.52224;0.52224
1-0-0-2-0;0.52105;0.52105
1-0-0-0-2;0.53516;0.53516
0-1-2-0-0;0.51527;0.51527
0-1-0-2-0;0.51487;0.51487
0-1-0-0-2;0.52774;0.52774
0-0-1-2-0;0.51845;0.51845
0-0-1-0-2;0.52263;0.52263
0-0-0-1-2;0.52385;0.52385
1-2-3-0-0;0.52127;0.52127
1-2-0-3-0;0.52195;0.52195
1-2-0-0-3;0.52432;0.52432
1-0-2-3-0;0.51548;0.51548
1-0-2-0-3;0.52305;0.52305
1-0-0-2-3;0.52333;0.52333
0-1-2-3-0;0.50908;0.50908
0-1-2-0-3;0.51248;0.51248
0-1-0-2-3;0.51239;0.51239
0-0-1-2-3;0.50809;0.50809
1-2-3-4-0;0.51442;0.51442
1-2-3-0-4;0.52240;0.52240
1-2-0-3-4;0.52135;0.52135
1-0-2-3-4;0.51577;0.51577
0-1-2-3-4;0.51154;0.51154
1-2-3-4-5;0.51640;0.51640
