;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1868;1868;1868;1868;4101;4101;4101;4101
0-1-0-0-0;1935;1935;1935;1935;4236;4236;4236;4236
0-0-1-0-0;1754;1754;1754;1754;4251;4251;4251;4251
0-0-0-1-0;1948;1948;1948;1948;4028;4028;4028;4028
0-0-0-0-1;1844;1844;1844;1844;4026;4026;4026;4026
1-2-0-0-0;1987;1987;1987;1987;4379;4379;4379;4379
1-0-2-0-0;1921;1921;1921;1921;4480;4480;4480;4480
1-0-0-2-0;2028;2028;2028;2028;4393;4393;4393;4393
1-0-0-0-2;1955;1955;1955;1955;4372;4372;4372;4372
0-1-2-0-0;1970;1970;1970;1970;4514;4514;4514;4514
0-1-0-2-0;2059;2059;2059;2059;4462;4462;4462;4462
0-1-0-0-2;1995;1995;1995;1995;4425;4425;4425;4425
0-0-1-2-0;1984;1984;1984;1984;4398;4398;4398;4398
0-0-1-0-2;1899;1899;1899;1899;4390;4390;4390;4390
0-0-0-1-2;2005;2005;2005;2005;4285;4285;4285;4285
1-2-3-0-0;1946;1944;1944;1944;4344;4338;4338;4338
1-2-0-3-0;1966;1965;1965;1965;4329;4324;4324;4324
1-2-0-0-3;1963;1962;1962;1962;4344;4339;4339;4339
1-0-2-3-0;1907;1904;1904;1904;4430;4422;4422;4422
1-0-2-0-3;1901;1898;1898;1898;4432;4426;4426;4426
1-0-0-2-3;1987;1988;1988;1988;4342;4337;4337;4337
0-1-2-3-0;1952;1950;1950;1950;4465;4460;4460;4460
0-1-2-0-3;1947;1945;1945;1945;4472;4464;4464;4464
0-1-0-2-3;2019;2017;2017;2017;4403;4397;4397;4397
0-0-1-2-3;1952;1949;1949;1949;4369;4370;4370;4370
1-2-3-4-0;1994;1993;1993;1993;4542;4531;4531;4531
1-2-3-0-4;1989;1988;1988;1988;4539;4534;4534;4534
1-2-0-3-4;2044;2043;2043;2043;4497;4490;4490;4490
1-0-2-3-4;2008;2008;2008;2008;4529;4522;4522;4522
0-1-2-3-4;2035;2034;2034;2034;4553;4548;4548;4548
1-2-3-4-5;1973;1971;1972;1971;4499;4488;4490;4488
