;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.06133;0.06133;0.06133;0.06133;0.16521;0.16521;0.16521;0.16521
0-1-0-0-0;0.07111;0.07111;0.07111;0.07111;0.19300;0.19300;0.19300;0.19300
0-0-1-0-0;0.05135;0.05135;0.05135;0.05135;0.15183;0.15183;0.15183;0.15183
0-0-0-1-0;0.07578;0.07578;0.07578;0.07578;0.12011;0.12011;0.12011;0.12011
0-0-0-0-1;0.06190;0.06190;0.06190;0.06190;0.11703;0.11703;0.11703;0.11703
1-2-0-0-0;0.08419;0.08419;0.08419;0.08419;0.21435;0.21435;0.21435;0.21435
1-0-2-0-0;0.07359;0.07359;0.07359;0.07359;0.20592;0.20592;0.20592;0.20592
1-0-0-2-0;0.09586;0.09586;0.09586;0.09586;0.19382;0.19382;0.19382;0.19382
1-0-0-0-2;0.08338;0.08338;0.08338;0.08338;0.19217;0.19217;0.19217;0.19217
0-1-2-0-0;0.07987;0.07987;0.07987;0.07987;0.22498;0.22498;0.22498;0.22498
0-1-0-2-0;0.10107;0.10107;0.10107;0.10107;0.21424;0.21424;0.21424;0.21424
0-1-0-0-2;0.08873;0.08873;0.08873;0.08873;0.21368;0.21368;0.21368;0.21368
0-0-1-2-0;0.08820;0.08820;0.08820;0.08820;0.17819;0.17819;0.17819;0.17819
0-0-1-0-2;0.07688;0.07688;0.07688;0.07688;0.17636;0.17636;0.17636;0.17636
0-0-0-1-2;0.09139;0.09139;0.09139;0.09139;0.15402;0.15402;0.15402;0.15402
1-2-3-0-0;0.07083;0.07139;0.07139;0.07139;0.19661;0.19661;0.19661;0.19661
1-2-0-3-0;0.07304;0.07332;0.07332;0.07332;0.19135;0.19100;0.19100;0.19100
1-2-0-0-3;0.07414;0.07441;0.07441;0.07441;0.19522;0.19510;0.19510;0.19510
1-0-2-3-0;0.06695;0.06778;0.06778;0.06778;0.18506;0.18566;0.18566;0.18566
1-0-2-0-3;0.06667;0.06750;0.06750;0.06750;0.18661;0.18661;0.18661;0.18661
1-0-0-2-3;0.07878;0.07851;0.07851;0.07851;0.17415;0.17440;0.17440;0.17440
0-1-2-3-0;0.07221;0.07277;0.07277;0.07277;0.20043;0.20043;0.20043;0.20043
0-1-2-0-3;0.07166;0.07221;0.07221;0.07221;0.20353;0.20410;0.20410;0.20410
0-1-0-2-3;0.08365;0.08419;0.08419;0.08419;0.19288;0.19300;0.19300;0.19300
0-0-1-2-3;0.07249;0.07332;0.07332;0.07332;0.16846;0.16797;0.16797;0.16797
1-2-3-4-0;0.08095;0.08122;0.08122;0.08122;0.21877;0.21921;0.21921;0.21921
1-2-3-0-4;0.08176;0.08203;0.08203;0.08203;0.22151;0.22129;0.22129;0.22129
1-2-0-3-4;0.09323;0.09350;0.09350;0.09350;0.21424;0.21424;0.21424;0.21424
1-0-2-3-4;0.08580;0.08580;0.08580;0.08580;0.20330;0.20319;0.20319;0.20319
0-1-2-3-4;0.08980;0.09006;0.09006;0.09006;0.21778;0.21778;0.21778;0.21778
1-2-3-4-5;0.07469;0.07524;0.07496;0.07524;0.20353;0.20421;0.20421;0.20421
