;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;204;204;204;204;1099;1099;1099;1099
0-1-0-0-0;239;239;239;239;1328;1328;1328;1328
0-0-1-0-0;169;169;169;169;994;994;994;994
0-0-0-1-0;256;256;256;256;758;758;758;758
0-0-0-0-1;206;206;206;206;736;736;736;736
1-2-0-0-0;287;287;287;287;1515;1515;1515;1515
1-0-2-0-0;248;248;248;248;1440;1440;1440;1440
1-0-0-2-0;331;331;331;331;1335;1335;1335;1335
1-0-0-0-2;284;284;284;284;1321;1321;1321;1321
0-1-2-0-0;271;271;271;271;1612;1612;1612;1612
0-1-0-2-0;351;351;351;351;1514;1514;1514;1514
0-1-0-0-2;304;304;304;304;1509;1509;1509;1509
0-0-1-2-0;302;302;302;302;1204;1204;1204;1204
0-0-1-0-2;260;260;260;260;1189;1189;1189;1189
0-0-0-1-2;314;314;314;314;1011;1011;1011;1011
1-2-3-0-0;238;240;240;240;1359;1359;1359;1359
1-2-0-3-0;246;247;247;247;1314;1311;1311;1311
1-2-0-0-3;250;251;251;251;1347;1346;1346;1346
1-0-2-3-0;224;227;227;227;1261;1266;1266;1266
1-0-2-0-3;223;226;226;226;1274;1274;1274;1274
1-0-0-2-3;267;266;266;266;1171;1173;1173;1173
0-1-2-3-0;243;245;245;245;1392;1392;1392;1392
0-1-2-0-3;241;243;243;243;1419;1424;1424;1424
0-1-0-2-3;285;287;287;287;1327;1328;1328;1328
0-0-1-2-3;244;247;247;247;1125;1121;1121;1121
1-2-3-4-0;275;276;276;276;1555;1559;1559;1559
1-2-3-0-4;278;279;279;279;1580;1578;1578;1578
1-2-0-3-4;321;322;322;322;1514;1514;1514;1514
1-0-2-3-4;293;293;293;293;1417;1416;1416;1416
0-1-2-3-4;308;309;309;309;1546;1546;1546;1546
1-2-3-4-5;252;254;253;254;1419;1425;1425;1425
