;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.37703;0.37703;0.37703;0.37703;0.22910;0.22910;0.22910;0.22910
0-1-0-0-0;0.35317;0.35317;0.35317;0.35317;0.20419;0.20419;0.20419;0.20419
0-0-1-0-0;0.41568;0.41568;0.41568;0.41568;0.21414;0.21414;0.21414;0.21414
0-0-0-1-0;0.34754;0.34754;0.34754;0.34754;0.25321;0.25321;0.25321;0.25321
0-0-0-0-1;0.38401;0.38401;0.38401;0.38401;0.25537;0.25537;0.25537;0.25537
1-2-0-0-0;0.33294;0.33294;0.33294;0.33294;0.17968;0.17968;0.17968;0.17968
1-0-2-0-0;0.35638;0.35638;0.35638;0.35638;0.16917;0.16917;0.16917;0.16917
1-0-0-2-0;0.31683;0.31683;0.31683;0.31683;0.18191;0.18191;0.18191;0.18191
1-0-0-0-2;0.34263;0.34263;0.34263;0.34263;0.18534;0.18534;0.18534;0.18534
0-1-2-0-0;0.33952;0.33952;0.33952;0.33952;0.16078;0.16078;0.16078;0.16078
0-1-0-2-0;0.30608;0.30608;0.30608;0.30608;0.16853;0.16853;0.16853;0.16853
0-1-0-0-2;0.32896;0.32896;0.32896;0.32896;0.17389;0.17389;0.17389;0.17389
0-0-1-2-0;0.33236;0.33236;0.33236;0.33236;0.18692;0.18692;0.18692;0.18692
0-0-1-0-2;0.36162;0.36162;0.36162;0.36162;0.18807;0.18807;0.18807;0.18807
0-0-0-1-2;0.32509;0.32509;0.32509;0.32509;0.20719;0.20719;0.20719;0.20719
1-2-3-0-0;0.35000;0.35039;0.35039;0.35039;0.18851;0.18953;0.18953;0.18953
1-2-0-3-0;0.34323;0.34343;0.34343;0.34343;0.19179;0.19260;0.19260;0.19260
1-2-0-0-3;0.34371;0.34391;0.34391;0.34391;0.18870;0.18945;0.18945;0.18945
1-0-2-3-0;0.36312;0.36369;0.36369;0.36369;0.17992;0.18096;0.18096;0.18096
1-0-2-0-3;0.36502;0.36559;0.36559;0.36559;0.17929;0.18017;0.18017;0.18017
1-0-0-2-3;0.33491;0.33471;0.33471;0.33471;0.19349;0.19417;0.19417;0.19417
0-1-2-3-0;0.34770;0.34808;0.34808;0.34808;0.17221;0.17279;0.17279;0.17279
0-1-2-0-3;0.34939;0.34978;0.34978;0.34978;0.17025;0.17128;0.17128;0.17128
0-1-0-2-3;0.32375;0.32414;0.32414;0.32414;0.18125;0.18210;0.18210;0.18210
0-0-1-2-3;0.34759;0.34817;0.34817;0.34817;0.19302;0.19299;0.19299;0.19299
1-2-3-4-0;0.33206;0.33225;0.33225;0.33225;0.15813;0.15959;0.15959;0.15959
1-2-3-0-4;0.33324;0.33343;0.33343;0.33343;0.15786;0.15860;0.15860;0.15860
1-2-0-3-4;0.31310;0.31330;0.31330;0.31330;0.16428;0.16528;0.16528;0.16528
1-0-2-3-4;0.32621;0.32621;0.32621;0.32621;0.16327;0.16430;0.16430;0.16430
0-1-2-3-4;0.31691;0.31711;0.31711;0.31711;0.15706;0.15777;0.15777;0.15777
1-2-3-4-5;0.34055;0.34094;0.34074;0.34094;0.16695;0.16839;0.16810;0.16839
