;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1.00000;1.00000;1.00000;1.00000;0.93382;0.93382;0.93382;0.93382
0-1-0-0-0;1.00000;1.00000;1.00000;1.00000;0.83673;0.83673;0.83673;0.83673
0-0-1-0-0;1.00000;1.00000;1.00000;1.00000;0.88489;0.88489;0.88489;0.88489
0-0-0-1-0;1.00000;1.00000;1.00000;1.00000;0.94074;0.94074;0.94074;0.94074
0-0-0-0-1;1.00000;1.00000;1.00000;1.00000;0.90580;0.90580;0.90580;0.90580
1-2-0-0-0;1.00000;1.00000;1.00000;1.00000;0.85417;0.85417;0.85417;0.85417
1-0-2-0-0;1.00000;1.00000;1.00000;1.00000;0.86429;0.86429;0.86429;0.86429
1-0-0-2-0;1.00000;1.00000;1.00000;1.00000;0.90580;0.90580;0.90580;0.90580
1-0-0-0-2;1.00000;1.00000;1.00000;1.00000;0.86525;0.86525;0.86525;0.86525
0-1-2-0-0;1.00000;1.00000;1.00000;1.00000;0.82192;0.82192;0.82192;0.82192
0-1-0-2-0;1.00000;1.00000;1.00000;1.00000;0.84247;0.84247;0.84247;0.84247
0-1-0-0-2;1.00000;1.00000;1.00000;1.00000;0.83916;0.83916;0.83916;0.83916
0-0-1-2-0;1.00000;1.00000;1.00000;1.00000;0.88406;0.88406;0.88406;0.88406
0-0-1-0-2;1.00000;1.00000;1.00000;1.00000;0.87143;0.87143;0.87143;0.87143
0-0-0-1-2;1.00000;1.00000;1.00000;1.00000;0.89855;0.89855;0.89855;0.89855
1-2-3-0-0;1.00000;1.00000;1.00000;1.00000;0.87857;0.87234;0.87234;0.87234
1-2-0-3-0;1.00000;1.00000;1.00000;1.00000;0.89130;0.88489;0.88489;0.88489
1-2-0-0-3;1.00000;1.00000;1.00000;1.00000;0.89209;0.88571;0.88571;0.88571
1-0-2-3-0;1.00000;1.00000;1.00000;1.00000;0.87681;0.87050;0.87050;0.87050
1-0-2-0-3;1.00000;1.00000;1.00000;1.00000;0.88406;0.87770;0.87770;0.87770
1-0-0-2-3;1.00000;1.00000;1.00000;1.00000;0.93333;0.92647;0.92647;0.92647
0-1-2-3-0;1.00000;1.00000;1.00000;1.00000;0.85106;0.85816;0.85816;0.85816
0-1-2-0-3;1.00000;1.00000;1.00000;1.00000;0.85714;0.83916;0.83916;0.83916
0-1-0-2-3;1.00000;1.00000;1.00000;1.00000;0.89209;0.87943;0.87943;0.87943
0-0-1-2-3;1.00000;1.00000;1.00000;1.00000;0.89706;0.88406;0.88406;0.88406
1-2-3-4-0;1.00000;1.00000;1.00000;1.00000;0.85714;0.85816;0.85816;0.85816
1-2-3-0-4;1.00000;1.00000;1.00000;1.00000;0.86331;0.83916;0.83916;0.83916
1-2-0-3-4;1.00000;1.00000;1.00000;1.00000;0.87857;0.86014;0.86014;0.86014
1-0-2-3-4;1.00000;1.00000;1.00000;1.00000;0.87681;0.85816;0.85816;0.85816
0-1-2-3-4;1.00000;1.00000;1.00000;1.00000;0.85714;0.82759;0.82759;0.82759
1-2-3-4-5;1.00000;1.00000;1.00000;1.00000;0.86331;0.83333;0.83333;0.83333
