;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;2438;2438;2438;2438;8277;8277;8277;8277
0-1-0-0-0;2514;2514;2514;2514;8407;8407;8407;8407
0-0-1-0-0;2310;2310;2310;2310;8485;8485;8485;8485
0-0-0-1-0;2522;2522;2522;2522;8247;8247;8247;8247
0-0-0-0-1;2385;2385;2385;2385;8169;8169;8169;8169
1-2-0-0-0;2584;2584;2584;2584;8648;8648;8648;8648
1-0-2-0-0;2510;2510;2510;2510;8793;8793;8793;8793
1-0-0-2-0;2628;2628;2628;2628;8699;8699;8699;8699
1-0-0-0-2;2540;2540;2540;2540;8637;8637;8637;8637
0-1-2-0-0;2563;2563;2563;2563;8828;8828;8828;8828
0-1-0-2-0;2660;2660;2660;2660;8781;8781;8781;8781
0-1-0-0-2;2581;2581;2581;2581;8691;8691;8691;8691
0-0-1-2-0;2576;2576;2576;2576;8721;8721;8721;8721
0-0-1-0-2;2472;2472;2472;2472;8689;8689;8689;8689
0-0-0-1-2;2588;2588;2588;2588;8591;8591;8591;8591
1-2-3-0-0;2536;2533;2533;2533;8587;8578;8578;8578
1-2-0-3-0;2554;2550;2550;2550;8565;8557;8557;8557
1-2-0-0-3;2547;2545;2545;2545;8582;8573;8573;8573
1-0-2-3-0;2490;2485;2485;2485;8708;8699;8699;8699
1-0-2-0-3;2479;2474;2474;2474;8701;8693;8693;8693
1-0-0-2-3;2571;2569;2569;2569;8616;8604;8604;8604
0-1-2-3-0;2540;2537;2537;2537;8752;8745;8745;8745
0-1-2-0-3;2528;2525;2525;2525;8740;8730;8730;8730
0-1-0-2-3;2609;2604;2604;2604;8668;8663;8663;8663
0-0-1-2-3;2530;2526;2526;2526;8654;8652;8652;8652
1-2-3-4-0;2593;2591;2591;2591;8860;8849;8849;8849
1-2-3-0-4;2584;2583;2583;2583;8849;8842;8842;8842
1-2-0-3-4;2645;2642;2642;2642;8796;8787;8787;8787
1-0-2-3-4;2604;2604;2604;2604;8855;8841;8841;8841
0-1-2-3-4;2636;2634;2634;2634;8889;8880;8880;8880
1-2-3-4-5;2564;2560;2562;2560;8782;8765;8767;8765
