;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1945882;1945882;1945882;1945882;9660240;9660240;9660240;9660240
0-1-0-0-0;1952140;1952140;1952140;1952140;9369945;9369945;9369945;9369945
0-0-1-0-0;1856808;1856808;1856808;1856808;8539959;8539959;8539959;8539959
0-0-0-1-0;1917750;1917750;1917750;1917750;9006559;9006559;9006559;9006559
0-0-0-0-1;1834627;1834627;1834627;1834627;8460019;8460019;8460019;8460019
1-2-0-0-0;1727339;1727339;1727339;1727339;8039247;8039247;8039247;8039247
1-0-2-0-0;1647398;1647398;1647398;1647398;7114896;7114896;7114896;7114896
1-0-0-2-0;1679274;1679274;1679274;1679274;7379038;7379038;7379038;7379038
1-0-0-0-2;1636775;1636775;1636775;1636775;7189725;7189725;7189725;7189725
0-1-2-0-0;1665621;1665621;1665621;1665621;7210736;7210736;7210736;7210736
0-1-0-2-0;1697759;1697759;1697759;1697759;7596709;7596709;7596709;7596709
0-1-0-0-2;1648807;1648807;1648807;1648807;7225299;7225299;7225299;7225299
0-0-1-2-0;1649927;1649927;1649927;1649927;7040045;7040045;7040045;7040045
0-0-1-0-2;1622942;1622942;1622942;1622942;6811187;6811187;6811187;6811187
0-0-0-1-2;1605786;1605786;1605786;1605786;6958903;6958903;6958903;6958903
1-2-3-0-0;1558652;1909928;1909928;1909928;6533350;8871680;8871680;8871680
1-2-0-3-0;1544034;1929645;1929645;1929645;6662634;9053879;9053879;9053879
1-2-0-0-3;1566481;1895374;1895374;1895374;6575491;8856924;8856924;8856924
1-0-2-3-0;1501105;1886099;1886099;1886099;6324235;8647983;8647983;8647983
1-0-2-0-3;1499557;1846599;1846599;1846599;6256990;8509500;8509500;8509500
1-0-0-2-3;1505804;1905516;1905516;1905516;6339825;8776711;8776711;8776711
0-1-2-3-0;1527221;1908763;1908763;1908763;6526829;8837063;8837063;8837063
0-1-2-0-3;1524531;1865778;1865778;1865778;6368664;8541334;8541334;8541334
0-1-0-2-3;1514362;1907587;1907587;1907587;6404769;8809068;8809068;8809068
0-0-1-2-3;1500057;1865750;1865750;1865750;6213426;8381401;8381401;8381401
1-2-3-4-0;1462970;1777485;1777485;1777485;6085793;7969731;7969731;7969731
1-2-3-0-4;1491296;1756349;1756349;1756349;6063955;7795137;7795137;7795137
1-2-0-3-4;1467966;1786911;1786911;1786911;6058021;7950352;7950352;7950352
1-0-2-3-4;1433957;1752713;1752713;1752713;5918416;7694488;7694488;7694488
0-1-2-3-4;1444634;1758997;1758997;1758997;5998335;7786313;7786313;7786313
1-2-3-4-5;1644320;1888545;1761218;1888545;7141719;8642036;7842915;8642036
