;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.07163;0.07163;0.07163;0.07163;0.04360;0.04360;0.04360;0.04360
0-1-0-0-0;0.07184;0.07184;0.07184;0.07184;0.04226;0.04226;0.04226;0.04226
0-0-1-0-0;0.06946;0.06946;0.06946;0.06946;0.03836;0.03836;0.03836;0.03836
0-0-0-1-0;0.07077;0.07077;0.07077;0.07077;0.04084;0.04084;0.04084;0.04084
0-0-0-0-1;0.06784;0.06784;0.06784;0.06784;0.03849;0.03849;0.03849;0.03849
1-2-0-0-0;0.06248;0.06248;0.06248;0.06248;0.03570;0.03570;0.03570;0.03570
1-0-2-0-0;0.05975;0.05975;0.05975;0.05975;0.03150;0.03150;0.03150;0.03150
1-0-0-2-0;0.06038;0.06038;0.06038;0.06038;0.03277;0.03277;0.03277;0.03277
1-0-0-0-2;0.05936;0.05936;0.05936;0.05936;0.03194;0.03194;0.03194;0.03194
0-1-2-0-0;0.06051;0.06051;0.06051;0.06051;0.03191;0.03191;0.03191;0.03191
0-1-0-2-0;0.06101;0.06101;0.06101;0.06101;0.03363;0.03363;0.03363;0.03363
0-1-0-0-2;0.05980;0.05980;0.05980;0.05980;0.03214;0.03214;0.03214;0.03214
0-0-1-2-0;0.05972;0.05972;0.05972;0.05972;0.03128;0.03128;0.03128;0.03128
0-0-1-0-2;0.05900;0.05900;0.05900;0.05900;0.03021;0.03021;0.03021;0.03021
0-0-0-1-2;0.05803;0.05803;0.05803;0.05803;0.03095;0.03095;0.03095;0.03095
1-2-3-0-0;0.05662;0.07002;0.07002;0.07002;0.02914;0.03998;0.03998;0.03998
1-2-0-3-0;0.05591;0.07059;0.07059;0.07059;0.02967;0.04071;0.04071;0.04071
1-2-0-0-3;0.05669;0.06924;0.06924;0.06924;0.02923;0.03978;0.03978;0.03978
1-0-2-3-0;0.05443;0.06913;0.06913;0.06913;0.02803;0.03871;0.03871;0.03871
1-0-2-0-3;0.05456;0.06783;0.06783;0.06783;0.02770;0.03805;0.03805;0.03805
1-0-0-2-3;0.05433;0.06935;0.06935;0.06935;0.02810;0.03933;0.03933;0.03933
0-1-2-3-0;0.05546;0.07001;0.07001;0.07001;0.02891;0.03951;0.03951;0.03951
0-1-2-0-3;0.05553;0.06849;0.06849;0.06849;0.02819;0.03820;0.03820;0.03820
0-1-0-2-3;0.05457;0.06937;0.06937;0.06937;0.02842;0.03947;0.03947;0.03947
0-0-1-2-3;0.05423;0.06816;0.06816;0.06816;0.02752;0.03755;0.03755;0.03755
1-2-3-4-0;0.05261;0.06443;0.06443;0.06443;0.02682;0.03540;0.03540;0.03540
1-2-3-0-4;0.05364;0.06389;0.06389;0.06389;0.02671;0.03462;0.03462;0.03462
1-2-0-3-4;0.05264;0.06462;0.06462;0.06462;0.02671;0.03540;0.03540;0.03540
1-0-2-3-4;0.05146;0.06333;0.06333;0.06333;0.02604;0.03419;0.03419;0.03419
0-1-2-3-4;0.05181;0.06350;0.06350;0.06350;0.02636;0.03450;0.03450;0.03450
1-2-3-4-5;0.05965;0.06896;0.06408;0.06896;0.03171;0.03872;0.03500;0.03872
