;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1945882;1945882;1945882;1945882;9662737;9662737;9662737;9662737
0-1-0-0-0;1952140;1952140;1952140;1952140;9372203;9372203;9372203;9372203
0-0-1-0-0;1856808;1856808;1856808;1856808;8541830;8541830;8541830;8541830
0-0-0-1-0;1917750;1917750;1917750;1917750;9008978;9008978;9008978;9008978
0-0-0-0-1;1834627;1834627;1834627;1834627;8461725;8461725;8461725;8461725
1-2-0-0-0;1727339;1727339;1727339;1727339;8041667;8041667;8041667;8041667
1-0-2-0-0;1647398;1647398;1647398;1647398;7116875;7116875;7116875;7116875
1-0-0-2-0;1679274;1679274;1679274;1679274;7381198;7381198;7381198;7381198
1-0-0-0-2;1636775;1636775;1636775;1636775;7191788;7191788;7191788;7191788
0-1-2-0-0;1665621;1665621;1665621;1665621;7212754;7212754;7212754;7212754
0-1-0-2-0;1697759;1697759;1697759;1697759;7598926;7598926;7598926;7598926
0-1-0-0-2;1648807;1648807;1648807;1648807;7227081;7227081;7227081;7227081
0-0-1-2-0;1649927;1649927;1649927;1649927;7042089;7042089;7042089;7042089
0-0-1-0-2;1622942;1622942;1622942;1622942;6812767;6812767;6812767;6812767
0-0-0-1-2;1605786;1605786;1605786;1605786;6960946;6960946;6960946;6960946
1-2-3-0-0;1558652;1909928;1909928;1909928;6535425;8873982;8873982;8873982
1-2-0-3-0;1544034;1929645;1929645;1929645;6664692;9056247;9056247;9056247
1-2-0-0-3;1566481;1895374;1895374;1895374;6577329;8859258;8859258;8859258
1-0-2-3-0;1501105;1886099;1886099;1886099;6326076;8650193;8650193;8650193
1-0-2-0-3;1499557;1846599;1846599;1846599;6258831;8511516;8511516;8511516
1-0-0-2-3;1505804;1905516;1905516;1905516;6341894;8779194;8779194;8779194
0-1-2-3-0;1527221;1908763;1908763;1908763;6528767;8839245;8839245;8839245
0-1-2-0-3;1524531;1865778;1865778;1865778;6370335;8543401;8543401;8543401
0-1-0-2-3;1514362;1907587;1907587;1907587;6406557;8811080;8811080;8811080
0-0-1-2-3;1500057;1865750;1865750;1865750;6215332;8383657;8383657;8383657
1-2-3-4-0;1462970;1777485;1777485;1777485;6087731;7972061;7972061;7972061
1-2-3-0-4;1491296;1756349;1756349;1756349;6065846;7797444;7797444;7797444
1-2-0-3-4;1467966;1786911;1786911;1786911;6060086;7952700;7952700;7952700
1-0-2-3-4;1433957;1752713;1752713;1752713;5920266;7696711;7696711;7696711
0-1-2-3-4;1444634;1758997;1758997;1758997;6000180;7788454;7788454;7788454
1-2-3-4-5;1644320;1888545;1761218;1888545;7143828;8644618;7845177;8644618
