;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;nan;nan;nan;nan;0.09386;0.09386;0.09386;0.09386
0-1-0-0-0;nan;nan;nan;nan;0.11311;0.11311;0.11311;0.11311
0-0-1-0-0;nan;nan;nan;nan;0.11113;0.11113;0.11113;0.11113
0-0-0-1-0;nan;nan;nan;nan;0.10361;0.10361;0.10361;0.10361
0-0-0-0-1;nan;nan;nan;nan;0.10837;0.10837;0.10837;0.10837
1-2-0-0-0;nan;nan;nan;nan;0.09415;0.09415;0.09415;0.09415
1-0-2-0-0;nan;nan;nan;nan;0.09369;0.09369;0.09369;0.09369
1-0-0-2-0;nan;nan;nan;nan;0.08990;0.08990;0.08990;0.08990
1-0-0-0-2;nan;nan;nan;nan;0.08618;0.08618;0.08618;0.08618
0-1-2-0-0;nan;nan;nan;nan;0.10409;0.10409;0.10409;0.10409
0-1-0-2-0;nan;nan;nan;nan;0.09454;0.09454;0.09454;0.09454
0-1-0-0-2;nan;nan;nan;nan;0.09652;0.09652;0.09652;0.09652
0-0-1-2-0;nan;nan;nan;nan;0.09676;0.09676;0.09676;0.09676
0-0-1-0-2;nan;nan;nan;nan;0.09899;0.09899;0.09899;0.09899
0-0-0-1-2;nan;nan;nan;nan;0.09496;0.09496;0.09496;0.09496
1-2-3-0-0;nan;nan;nan;nan;0.08429;0.10067;0.10067;0.10067
1-2-0-3-0;nan;nan;nan;nan;0.08401;0.09991;0.09991;0.09991
1-2-0-0-3;nan;nan;nan;nan;0.08112;0.10007;0.10007;0.10007
1-0-2-3-0;nan;nan;nan;nan;0.08419;0.09787;0.09787;0.09787
1-0-2-0-3;nan;nan;nan;nan;0.08351;0.09693;0.09693;0.09693
1-0-0-2-3;nan;nan;nan;nan;0.08252;0.09587;0.09587;0.09587
0-1-2-3-0;nan;nan;nan;nan;0.09092;0.10641;0.10641;0.10641
0-1-2-0-3;nan;nan;nan;nan;0.09195;0.10656;0.10656;0.10656
0-1-0-2-3;nan;nan;nan;nan;0.08489;0.10391;0.10391;0.10391
0-0-1-2-3;nan;nan;nan;nan;0.08914;0.10646;0.10646;0.10646
1-2-3-4-0;nan;nan;nan;nan;0.08553;0.10118;0.10118;0.10118
1-2-3-0-4;nan;nan;nan;nan;0.08347;0.09843;0.09843;0.09843
1-2-0-3-4;nan;nan;nan;nan;0.08074;0.09884;0.09884;0.09884
1-0-2-3-4;nan;nan;nan;nan;0.08297;0.09939;0.09939;0.09939
0-1-2-3-4;nan;nan;nan;nan;0.08742;0.10382;0.10382;0.10382
1-2-3-4-5;nan;nan;nan;nan;0.08903;0.10469;0.09953;0.10469
