;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0;0;0;0;8;8;8;8
0-1-0-0-0;0;0;0;0;21;21;21;21
0-0-1-0-0;0;0;0;0;7;7;7;7
0-0-0-1-0;0;0;0;0;0;0;0;0
0-0-0-0-1;0;0;0;0;8;8;8;8
1-2-0-0-0;0;0;0;0;8;8;8;8
1-0-2-0-0;0;0;0;0;8;8;8;8
1-0-0-2-0;0;0;0;0;3;3;3;3
1-0-0-0-2;0;0;0;0;11;11;11;11
0-1-2-0-0;0;0;0;0;12;12;12;12
0-1-0-2-0;0;0;0;0;6;6;6;6
0-1-0-0-2;0;0;0;0;17;17;17;17
0-0-1-2-0;0;0;0;0;8;8;8;8
0-0-1-0-2;0;0;0;0;7;7;7;7
0-0-0-1-2;0;0;0;0;8;8;8;8
1-2-3-0-0;0;0;0;0;3;8;8;8
1-2-0-3-0;0;0;0;0;3;8;8;8
1-2-0-0-3;0;0;0;0;1;6;6;6
1-0-2-3-0;0;0;0;0;9;12;12;12
1-0-2-0-3;0;0;0;0;7;10;10;10
1-0-0-2-3;0;0;0;0;0;3;3;3
0-1-2-3-0;0;0;0;0;12;14;14;14
0-1-2-0-3;0;0;0;0;12;12;12;12
0-1-0-2-3;0;0;0;0;5;5;5;5
0-0-1-2-3;0;0;0;0;8;11;11;11
1-2-3-4-0;0;0;0;0;9;14;14;14
1-2-3-0-4;0;0;0;0;9;12;12;12
1-2-0-3-4;0;0;0;0;3;6;6;6
1-0-2-3-4;0;0;0;0;9;15;15;15
0-1-2-3-4;0;0;0;0;12;15;15;15
1-2-3-4-5;0;0;0;0;12;15;15;15
