;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.07503;0.07503;0.07503;0.07503;0.04523;0.04523;0.04523;0.04523
0-1-0-0-0;0.07523;0.07523;0.07523;0.07523;0.04385;0.04385;0.04385;0.04385
0-0-1-0-0;0.07264;0.07264;0.07264;0.07264;0.03954;0.03954;0.03954;0.03954
0-0-0-1-0;0.07389;0.07389;0.07389;0.07389;0.04211;0.04211;0.04211;0.04211
0-0-0-0-1;0.07127;0.07127;0.07127;0.07127;0.03985;0.03985;0.03985;0.03985
1-2-0-0-0;0.06566;0.06566;0.06566;0.06566;0.03719;0.03719;0.03719;0.03719
1-0-2-0-0;0.06282;0.06282;0.06282;0.06282;0.03268;0.03268;0.03268;0.03268
1-0-0-2-0;0.06346;0.06346;0.06346;0.06346;0.03402;0.03402;0.03402;0.03402
1-0-0-0-2;0.06258;0.06258;0.06258;0.06258;0.03327;0.03327;0.03327;0.03327
0-1-2-0-0;0.06368;0.06368;0.06368;0.06368;0.03310;0.03310;0.03310;0.03310
0-1-0-2-0;0.06401;0.06401;0.06401;0.06401;0.03489;0.03489;0.03489;0.03489
0-1-0-0-2;0.06298;0.06298;0.06298;0.06298;0.03345;0.03345;0.03345;0.03345
0-0-1-2-0;0.06277;0.06277;0.06277;0.06277;0.03235;0.03235;0.03235;0.03235
0-0-1-0-2;0.06222;0.06222;0.06222;0.06222;0.03134;0.03134;0.03134;0.03134
0-0-0-1-2;0.06115;0.06115;0.06115;0.06115;0.03213;0.03213;0.03213;0.03213
1-2-3-0-0;0.05977;0.07324;0.07324;0.07324;0.03037;0.04128;0.04128;0.04128
1-2-0-3-0;0.05890;0.07370;0.07370;0.07370;0.03092;0.04203;0.04203;0.04203
1-2-0-0-3;0.05990;0.07240;0.07240;0.07240;0.03052;0.04116;0.04116;0.04116
1-0-2-3-0;0.05735;0.07214;0.07214;0.07214;0.02912;0.03984;0.03984;0.03984
1-0-2-0-3;0.05762;0.07090;0.07090;0.07090;0.02887;0.03926;0.03926;0.03926
1-0-0-2-3;0.05738;0.07247;0.07247;0.07247;0.02929;0.04060;0.04060;0.04060
0-1-2-3-0;0.05847;0.07314;0.07314;0.07314;0.03001;0.04066;0.04066;0.04066
0-1-2-0-3;0.05874;0.07177;0.07177;0.07177;0.02939;0.03947;0.03947;0.03947
0-1-0-2-3;0.05761;0.07243;0.07243;0.07243;0.02961;0.04074;0.04074;0.04074
0-0-1-2-3;0.05726;0.07129;0.07129;0.07129;0.02860;0.03864;0.03864;0.03864
1-2-3-4-0;0.05552;0.06748;0.06748;0.06748;0.02792;0.03657;0.03657;0.03657
1-2-3-0-4;0.05675;0.06702;0.06702;0.06702;0.02786;0.03585;0.03585;0.03585
1-2-0-3-4;0.05565;0.06778;0.06778;0.06778;0.02788;0.03666;0.03666;0.03666
1-0-2-3-4;0.05440;0.06634;0.06634;0.06634;0.02710;0.03530;0.03530;0.03530
0-1-2-3-4;0.05473;0.06649;0.06649;0.06649;0.02744;0.03565;0.03565;0.03565
1-2-3-4-5;0.06265;0.07204;0.06712;0.07204;0.03288;0.03988;0.03617;0.03988
