;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;nan;nan;nan;nan;0.09501;0.09501;0.09501;0.09501
0-1-0-0-0;nan;nan;nan;nan;0.11240;0.11240;0.11240;0.11240
0-0-1-0-0;nan;nan;nan;nan;0.11043;0.11043;0.11043;0.11043
0-0-0-1-0;nan;nan;nan;nan;0.10408;0.10408;0.10408;0.10408
0-0-0-0-1;nan;nan;nan;nan;0.10973;0.10973;0.10973;0.10973
1-2-0-0-0;nan;nan;nan;nan;0.09235;0.09235;0.09235;0.09235
1-0-2-0-0;nan;nan;nan;nan;0.09620;0.09620;0.09620;0.09620
1-0-0-2-0;nan;nan;nan;nan;0.08761;0.08761;0.08761;0.08761
1-0-0-0-2;nan;nan;nan;nan;0.08761;0.08761;0.08761;0.08761
0-1-2-0-0;nan;nan;nan;nan;0.10330;0.10330;0.10330;0.10330
0-1-0-2-0;nan;nan;nan;nan;0.09409;0.09409;0.09409;0.09409
0-1-0-0-2;nan;nan;nan;nan;0.09750;0.09750;0.09750;0.09750
0-0-1-2-0;nan;nan;nan;nan;0.09687;0.09687;0.09687;0.09687
0-0-1-0-2;nan;nan;nan;nan;0.10001;0.10001;0.10001;0.10001
0-0-0-1-2;nan;nan;nan;nan;0.09797;0.09797;0.09797;0.09797
1-2-3-0-0;nan;nan;nan;nan;0.08426;0.09827;0.09827;0.09827
1-2-0-3-0;nan;nan;nan;nan;0.08182;0.09668;0.09668;0.09668
1-2-0-0-3;nan;nan;nan;nan;0.08009;0.09767;0.09767;0.09767
1-0-2-3-0;nan;nan;nan;nan;0.08523;0.09728;0.09728;0.09728
1-0-2-0-3;nan;nan;nan;nan;0.08409;0.09681;0.09681;0.09681
1-0-0-2-3;nan;nan;nan;nan;0.08233;0.09593;0.09593;0.09593
0-1-2-3-0;nan;nan;nan;nan;0.09083;0.10470;0.10470;0.10470
0-1-2-0-3;nan;nan;nan;nan;0.09300;0.10659;0.10659;0.10659
0-1-0-2-3;nan;nan;nan;nan;0.08820;0.10411;0.10411;0.10411
0-0-1-2-3;nan;nan;nan;nan;0.09011;0.10641;0.10641;0.10641
1-2-3-4-0;nan;nan;nan;nan;0.08447;0.09763;0.09763;0.09763
1-2-3-0-4;nan;nan;nan;nan;0.08348;0.09734;0.09734;0.09734
1-2-0-3-4;nan;nan;nan;nan;0.08187;0.09853;0.09853;0.09853
1-0-2-3-4;nan;nan;nan;nan;0.08140;0.09721;0.09721;0.09721
0-1-2-3-4;nan;nan;nan;nan;0.08782;0.10377;0.10377;0.10377
1-2-3-4-5;nan;nan;nan;nan;0.08730;0.10356;0.09786;0.10356
