;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;nan;nan;nan;nan;0.05785;0.05785;0.05785;0.05785
0-1-0-0-0;nan;nan;nan;nan;0.09722;0.09722;0.09722;0.09722
0-0-1-0-0;nan;nan;nan;nan;0.05248;0.05248;0.05248;0.05248
0-0-0-1-0;nan;nan;nan;nan;0.06278;0.06278;0.06278;0.06278
0-0-0-0-1;nan;nan;nan;nan;0.10821;0.10821;0.10821;0.10821
1-2-0-0-0;nan;nan;nan;nan;0.06000;0.06000;0.06000;0.06000
1-0-2-0-0;nan;nan;nan;nan;0.04421;0.04421;0.04421;0.04421
1-0-0-2-0;nan;nan;nan;nan;0.04348;0.04348;0.04348;0.04348
1-0-0-0-2;nan;nan;nan;nan;0.07209;0.07209;0.07209;0.07209
0-1-2-0-0;nan;nan;nan;nan;0.06947;0.06947;0.06947;0.06947
0-1-0-2-0;nan;nan;nan;nan;0.06111;0.06111;0.06111;0.06111
0-1-0-0-2;nan;nan;nan;nan;0.09213;0.09213;0.09213;0.09213
0-0-1-2-0;nan;nan;nan;nan;0.04961;0.04961;0.04961;0.04961
0-0-1-0-2;nan;nan;nan;nan;0.05769;0.05769;0.05769;0.05769
0-0-0-1-2;nan;nan;nan;nan;0.07468;0.07468;0.07468;0.07468
1-2-3-0-0;nan;nan;nan;nan;0.04750;0.06250;0.06250;0.06250
1-2-0-3-0;nan;nan;nan;nan;0.04722;0.06667;0.06667;0.06667
1-2-0-0-3;nan;nan;nan;nan;0.05797;0.07826;0.07826;0.07826
1-0-2-3-0;nan;nan;nan;nan;0.04565;0.05435;0.05435;0.05435
1-0-2-0-3;nan;nan;nan;nan;0.05169;0.06067;0.06067;0.06067
1-0-0-2-3;nan;nan;nan;nan;0.05338;0.06762;0.06762;0.06762
0-1-2-3-0;nan;nan;nan;nan;0.06087;0.06190;0.06190;0.06190
0-1-2-0-3;nan;nan;nan;nan;0.06522;0.07391;0.07391;0.07391
0-1-0-2-3;nan;nan;nan;nan;0.07143;0.08631;0.08631;0.08631
0-0-1-2-3;nan;nan;nan;nan;0.05978;0.07337;0.07337;0.07337
1-2-3-4-0;nan;nan;nan;nan;0.05200;0.05435;0.05435;0.05435
1-2-3-0-4;nan;nan;nan;nan;0.05600;0.06200;0.06200;0.06200
1-2-0-3-4;nan;nan;nan;nan;0.06389;0.07778;0.07778;0.07778
1-0-2-3-4;nan;nan;nan;nan;0.05217;0.06739;0.06739;0.06739
0-1-2-3-4;nan;nan;nan;nan;0.06739;0.08043;0.08043;0.08043
1-2-3-4-5;nan;nan;nan;nan;0.07174;0.08043;0.08043;0.08043
