;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1468237;1468237;1468237;1468237;7604724;7604724;7604724;7604724
0-1-0-0-0;1482374;1482374;1482374;1482374;7556828;7556828;7556828;7556828
0-0-1-0-0;1480439;1480439;1480439;1480439;6927663;6927663;6927663;6927663
0-0-0-1-0;1508752;1508752;1508752;1508752;7457645;7457645;7457645;7457645
0-0-0-0-1;1475541;1475541;1475541;1475541;6839161;6839161;6839161;6839161
1-2-0-0-0;1671948;1671948;1671948;1671948;9343568;9343568;9343568;9343568
1-0-2-0-0;1706756;1706756;1706756;1706756;9288127;9288127;9288127;9288127
1-0-0-2-0;1764156;1764156;1764156;1764156;9614662;9614662;9614662;9614662
1-0-0-0-2;1715309;1715309;1715309;1715309;9211571;9211571;9211571;9211571
0-1-2-0-0;1719384;1719384;1719384;1719384;9207398;9207398;9207398;9207398
0-1-0-2-0;1756566;1756566;1756566;1756566;9531259;9531259;9531259;9531259
0-1-0-0-2;1706977;1706977;1706977;1706977;9143076;9143076;9143076;9143076
0-0-1-2-0;1755784;1755784;1755784;1755784;9093302;9093302;9093302;9093302
0-0-1-0-2;1710536;1710536;1710536;1710536;8626173;8626173;8626173;8626173
0-0-0-1-2;1789648;1789648;1789648;1789648;9217352;9217352;9217352;9217352
1-2-3-0-0;1821157;1487152;1487152;1487152;10210457;7274866;7274866;7274866
1-2-0-3-0;1851617;1469350;1469350;1469350;10524261;7438436;7438436;7438436
1-2-0-0-3;1824433;1457871;1457871;1457871;10188297;7311136;7311136;7311136
1-0-2-3-0;1857772;1481290;1481290;1481290;10464720;7169250;7169250;7169250
1-0-2-0-3;1831468;1454096;1454096;1454096;10112521;6982343;6982343;6982343
1-0-0-2-3;1908036;1474541;1474541;1474541;10499073;7171716;7171716;7171716
0-1-2-3-0;1874107;1507895;1507895;1507895;10323263;7211057;7211057;7211057
0-1-2-0-3;1846245;1482242;1482242;1482242;10007874;7025488;7025488;7025488
0-1-0-2-3;1900846;1491892;1491892;1491892;10352033;7204389;7204389;7204389
0-0-1-2-3;1887127;1506794;1506794;1506794;10079678;6956164;6956164;6956164
1-2-3-4-0;1942738;1601109;1601109;1601109;11227442;8314312;8314312;8314312
1-2-3-0-4;1915591;1587687;1587687;1587687;10947415;8160813;8160813;8160813
1-2-0-3-4;1986671;1609882;1609882;1609882;11228732;8216792;8216792;8216792
1-0-2-3-4;1982347;1606290;1606290;1606290;11172297;8019059;8019059;8019059
0-1-2-3-4;1983777;1613890;1613890;1613890;11044767;8109018;8109018;8109018
1-2-3-4-5;1678132;1461832;1569300;1461832;9012776;7055613;8092249;7055613
