;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.06685;0.06685;0.06685;0.06685;0.04481;0.04481;0.04481;0.04481
0-1-0-0-0;0.06765;0.06765;0.06765;0.06765;0.04593;0.04593;0.04593;0.04593
0-0-1-0-0;0.06896;0.06896;0.06896;0.06896;0.03941;0.03941;0.03941;0.03941
0-0-0-1-0;0.06863;0.06863;0.06863;0.06863;0.04285;0.04285;0.04285;0.04285
0-0-0-0-1;0.06909;0.06909;0.06909;0.06909;0.04028;0.04028;0.04028;0.04028
1-2-0-0-0;0.07450;0.07450;0.07450;0.07450;0.05400;0.05400;0.05400;0.05400
1-0-2-0-0;0.07678;0.07678;0.07678;0.07678;0.05164;0.05164;0.05164;0.05164
1-0-0-2-0;0.07798;0.07798;0.07798;0.07798;0.05382;0.05382;0.05382;0.05382
1-0-0-0-2;0.07786;0.07786;0.07786;0.07786;0.05288;0.05288;0.05288;0.05288
0-1-2-0-0;0.07759;0.07759;0.07759;0.07759;0.05201;0.05201;0.05201;0.05201
0-1-0-2-0;0.07684;0.07684;0.07684;0.07684;0.05343;0.05343;0.05343;0.05343
0-1-0-0-2;0.07744;0.07744;0.07744;0.07744;0.05265;0.05265;0.05265;0.05265
0-0-1-2-0;0.07876;0.07876;0.07876;0.07876;0.05026;0.05026;0.05026;0.05026
0-0-1-0-2;0.07814;0.07814;0.07814;0.07814;0.04849;0.04849;0.04849;0.04849
0-0-0-1-2;0.08069;0.08069;0.08069;0.08069;0.05186;0.05186;0.05186;0.05186
1-2-3-0-0;0.08260;0.06765;0.06765;0.06765;0.05860;0.04245;0.04245;0.04245
1-2-0-3-0;0.08261;0.06618;0.06618;0.06618;0.05966;0.04285;0.04285;0.04285
1-2-0-0-3;0.08265;0.06586;0.06586;0.06586;0.05873;0.04297;0.04297;0.04297
1-0-2-3-0;0.08322;0.06683;0.06683;0.06683;0.05778;0.04070;0.04070;0.04070
1-0-2-0-3;0.08331;0.06643;0.06643;0.06643;0.05724;0.04020;0.04020;0.04020
1-0-0-2-3;0.08565;0.06644;0.06644;0.06644;0.05927;0.04139;0.04139;0.04139
0-1-2-3-0;0.08420;0.06827;0.06827;0.06827;0.05746;0.04084;0.04084;0.04084
0-1-2-0-3;0.08457;0.06796;0.06796;0.06796;0.05748;0.04111;0.04111;0.04111
0-1-0-2-3;0.08505;0.06673;0.06673;0.06673;0.05867;0.04149;0.04149;0.04149
0-0-1-2-3;0.08495;0.06869;0.06869;0.06869;0.05600;0.03906;0.03906;0.03906
1-2-3-4-0;0.08621;0.07161;0.07161;0.07161;0.06211;0.04654;0.04654;0.04654
1-2-3-0-4;0.08612;0.07205;0.07205;0.07205;0.06118;0.04652;0.04652;0.04652
1-2-0-3-4;0.08833;0.07251;0.07251;0.07251;0.06303;0.04707;0.04707;0.04707
1-0-2-3-4;0.08854;0.07192;0.07192;0.07192;0.06094;0.04462;0.04462;0.04462
0-1-2-3-4;0.08830;0.07190;0.07190;0.07190;0.06083;0.04534;0.04534;0.04534
1-2-3-4-5;0.07550;0.06609;0.07069;0.06609;0.05065;0.03995;0.04545;0.03995
