;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1815958;1815958;1815958;1815958;9931754;9931754;9931754;9931754
0-1-0-0-0;1838403;1838403;1838403;1838403;10187829;10187829;10187829;10187829
0-0-1-0-0;1843332;1843332;1843332;1843332;8775431;8775431;8775431;8775431
0-0-0-1-0;1859917;1859917;1859917;1859917;9450401;9450401;9450401;9450401
0-0-0-0-1;1868352;1868352;1868352;1868352;8856213;8856213;8856213;8856213
1-2-0-0-0;2059449;2059449;2059449;2059449;12165217;12165217;12165217;12165217
1-0-2-0-0;2116909;2116909;2116909;2116909;11668170;11668170;11668170;11668170
1-0-0-2-0;2168811;2168811;2168811;2168811;12120970;12120970;12120970;12120970
1-0-0-0-2;2147032;2147032;2147032;2147032;11906469;11906469;11906469;11906469
0-1-2-0-0;2135714;2135714;2135714;2135714;11756320;11756320;11756320;11756320
0-1-0-2-0;2138172;2138172;2138172;2138172;12073334;12073334;12073334;12073334
0-1-0-0-2;2135208;2135208;2135208;2135208;11838682;11838682;11838682;11838682
0-0-1-2-0;2175798;2175798;2175798;2175798;11316612;11316612;11316612;11316612
0-0-1-0-2;2149323;2149323;2149323;2149323;10936533;10936533;10936533;10936533
0-0-0-1-2;2232640;2232640;2232640;2232640;11663878;11663878;11663878;11663878
1-2-3-0-0;2274043;1845296;1845296;1845296;13140294;9423269;9423269;9423269
1-2-0-3-0;2281376;1809123;1809123;1809123;13400012;9533231;9533231;9533231
1-2-0-0-3;2283863;1802807;1802807;1802807;13217093;9569119;9569119;9569119
1-0-2-3-0;2295283;1823420;1823420;1823420;13041091;9093722;9093722;9093722
1-0-2-0-3;2289862;1808579;1808579;1808579;12932933;8992586;8992586;8992586
1-0-0-2-3;2373873;1825541;1825541;1825541;13376291;9237911;9237911;9237911
0-1-2-3-0;2318531;1861363;1861363;1861363;12976945;9137406;9137406;9137406
0-1-2-0-3;2321582;1851120;1851120;1851120;12988622;9195221;9195221;9195221
0-1-0-2-3;2360084;1835105;1835105;1835105;13224741;9263820;9263820;9263820
0-0-1-2-3;2349573;1880318;1880318;1880318;12647880;8721258;8721258;8721258
1-2-3-4-0;2397117;1975616;1975616;1975616;14098981;10480820;10480820;10480820
1-2-3-0-4;2394426;1980920;1980920;1980920;13894597;10479007;10479007;10479007
1-2-0-3-4;2463211;2005049;2005049;2005049;14298888;10575321;10575321;10575321
1-0-2-3-4;2466962;1990308;1990308;1990308;13854565;10044013;10044013;10044013
0-1-2-3-4;2461990;1991469;1991469;1991469;13845055;10234335;10234335;10234335
1-2-3-4-5;2081446;1809763;1943138;1809763;11408990;8920990;10185839;8920990
