;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1468237;1468237;1468237;1468237;7604238;7604238;7604238;7604238
0-1-0-0-0;1482374;1482374;1482374;1482374;7556280;7556280;7556280;7556280
0-0-1-0-0;1480439;1480439;1480439;1480439;6926978;6926978;6926978;6926978
0-0-0-1-0;1508752;1508752;1508752;1508752;7457143;7457143;7457143;7457143
0-0-0-0-1;1475541;1475541;1475541;1475541;6838661;6838661;6838661;6838661
1-2-0-0-0;1671948;1671948;1671948;1671948;9342870;9342870;9342870;9342870
1-0-2-0-0;1706756;1706756;1706756;1706756;9287251;9287251;9287251;9287251
1-0-0-2-0;1764156;1764156;1764156;1764156;9613918;9613918;9613918;9613918
1-0-0-0-2;1715309;1715309;1715309;1715309;9210855;9210855;9210855;9210855
0-1-2-0-0;1719384;1719384;1719384;1719384;9206551;9206551;9206551;9206551
0-1-0-2-0;1756566;1756566;1756566;1756566;9530552;9530552;9530552;9530552
0-1-0-0-2;1706977;1706977;1706977;1706977;9142359;9142359;9142359;9142359
0-0-1-2-0;1755784;1755784;1755784;1755784;9092444;9092444;9092444;9092444
0-0-1-0-2;1710536;1710536;1710536;1710536;8625364;8625364;8625364;8625364
0-0-0-1-2;1789648;1789648;1789648;1789648;9216672;9216672;9216672;9216672
1-2-3-0-0;1821157;1487152;1487152;1487152;10209685;7274177;7274177;7274177
1-2-0-3-0;1851617;1469350;1469350;1469350;10523530;7437790;7437790;7437790
1-2-0-0-3;1824433;1457871;1457871;1457871;10187572;7310456;7310456;7310456
1-0-2-3-0;1857772;1481290;1481290;1481290;10463811;7168453;7168453;7168453
1-0-2-0-3;1831468;1454096;1454096;1454096;10111689;6981581;6981581;6981581
1-0-0-2-3;1908036;1474541;1474541;1474541;10498302;7171021;7171021;7171021
0-1-2-3-0;1874107;1507895;1507895;1507895;10322428;7210273;7210273;7210273
0-1-2-0-3;1846245;1482242;1482242;1482242;10007040;7024725;7024725;7024725
0-1-0-2-3;1900846;1491892;1491892;1491892;10351273;7203676;7203676;7203676
0-0-1-2-3;1887127;1506794;1506794;1506794;10078799;6955413;6955413;6955413
1-2-3-4-0;1942738;1601109;1601109;1601109;11226504;8313450;8313450;8313450
1-2-3-0-4;1915591;1587687;1587687;1587687;10946513;8159975;8159975;8159975
1-2-0-3-4;1986671;1609882;1609882;1609882;11227872;8215996;8215996;8215996
1-0-2-3-4;1982347;1606290;1606290;1606290;11171286;8018177;8018177;8018177
0-1-2-3-4;1983777;1613890;1613890;1613890;11043803;8108142;8108142;8108142
1-2-3-4-5;1678132;1461832;1569300;1461832;9011926;7054830;8091431;7054830
