;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;nan;nan;nan;nan;0.12000;0.12000;0.12000;0.12000
0-1-0-0-0;nan;nan;nan;nan;0.20349;0.20349;0.20349;0.20349
0-0-1-0-0;nan;nan;nan;nan;0.24306;0.24306;0.24306;0.24306
0-0-0-1-0;nan;nan;nan;nan;0.12500;0.12500;0.12500;0.12500
0-0-0-0-1;nan;nan;nan;nan;0.02083;0.02083;0.02083;0.02083
1-2-0-0-0;nan;nan;nan;nan;0.22917;0.22917;0.22917;0.22917
1-0-2-0-0;nan;nan;nan;nan;0.16292;0.16292;0.16292;0.16292
1-0-0-2-0;nan;nan;nan;nan;0.15278;0.15278;0.15278;0.15278
1-0-0-0-2;nan;nan;nan;nan;0.09821;0.09821;0.09821;0.09821
0-1-2-0-0;nan;nan;nan;nan;0.18878;0.18878;0.18878;0.18878
0-1-0-2-0;nan;nan;nan;nan;0.22857;0.22857;0.22857;0.22857
0-1-0-0-2;nan;nan;nan;nan;0.15862;0.15862;0.15862;0.15862
0-0-1-2-0;nan;nan;nan;nan;0.23611;0.23611;0.23611;0.23611
0-0-1-0-2;nan;nan;nan;nan;0.23611;0.23611;0.23611;0.23611
0-0-0-1-2;nan;nan;nan;nan;0.02083;0.02083;0.02083;0.02083
1-2-3-0-0;nan;nan;nan;nan;0.24786;0.20690;0.20690;0.20690
1-2-0-3-0;nan;nan;nan;nan;0.29870;0.21905;0.21905;0.21905
1-2-0-0-3;nan;nan;nan;nan;0.30645;0.22222;0.22222;0.22222
1-0-2-3-0;nan;nan;nan;nan;0.14724;0.13089;0.13089;0.13089
1-0-2-0-3;nan;nan;nan;nan;0.14189;0.12500;0.12500;0.12500
1-0-0-2-3;nan;nan;nan;nan;0.12500;0.05556;0.05556;0.05556
0-1-2-3-0;nan;nan;nan;nan;0.18785;0.17788;0.17788;0.17788
0-1-2-0-3;nan;nan;nan;nan;0.18232;0.18232;0.18232;0.18232
0-1-0-2-3;nan;nan;nan;nan;0.25926;0.24691;0.24691;0.24691
0-0-1-2-3;nan;nan;nan;nan;0.23256;0.22481;0.22481;0.22481
1-2-3-4-0;nan;nan;nan;nan;0.20725;0.17742;0.17742;0.17742
1-2-3-0-4;nan;nan;nan;nan;0.20207;0.18100;0.18100;0.18100
1-2-0-3-4;nan;nan;nan;nan;0.29870;0.21905;0.21905;0.21905
1-0-2-3-4;nan;nan;nan;nan;0.20725;0.18100;0.18100;0.18100
0-1-2-3-4;nan;nan;nan;nan;0.18785;0.18232;0.18232;0.18232
1-2-3-4-5;nan;nan;nan;nan;0.18232;0.18232;0.18232;0.18232
