;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1468237;1468237;1468237;1468237;7604016;7604016;7604016;7604016
0-1-0-0-0;1482374;1482374;1482374;1482374;7556093;7556093;7556093;7556093
0-0-1-0-0;1480439;1480439;1480439;1480439;6926752;6926752;6926752;6926752
0-0-0-1-0;1508752;1508752;1508752;1508752;7456942;7456942;7456942;7456942
0-0-0-0-1;1475541;1475541;1475541;1475541;6838539;6838539;6838539;6838539
1-2-0-0-0;1671948;1671948;1671948;1671948;9342595;9342595;9342595;9342595
1-0-2-0-0;1706756;1706756;1706756;1706756;9286958;9286958;9286958;9286958
1-0-0-2-0;1764156;1764156;1764156;1764156;9613601;9613601;9613601;9613601
1-0-0-0-2;1715309;1715309;1715309;1715309;9210637;9210637;9210637;9210637
0-1-2-0-0;1719384;1719384;1719384;1719384;9206264;9206264;9206264;9206264
0-1-0-2-0;1756566;1756566;1756566;1756566;9530249;9530249;9530249;9530249
0-1-0-0-2;1706977;1706977;1706977;1706977;9142150;9142150;9142150;9142150
0-0-1-2-0;1755784;1755784;1755784;1755784;9092150;9092150;9092150;9092150
0-0-1-0-2;1710536;1710536;1710536;1710536;8625091;8625091;8625091;8625091
0-0-0-1-2;1789648;1789648;1789648;1789648;9216417;9216417;9216417;9216417
1-2-3-0-0;1821157;1487152;1487152;1487152;10209438;7273973;7273973;7273973
1-2-0-3-0;1851617;1469350;1469350;1469350;10523226;7437553;7437553;7437553
1-2-0-0-3;1824433;1457871;1457871;1457871;10187290;7310247;7310247;7310247
1-0-2-3-0;1857772;1481290;1481290;1481290;10463489;7168184;7168184;7168184
1-0-2-0-3;1831468;1454096;1454096;1454096;10111356;6981321;6981321;6981321
1-0-0-2-3;1908036;1474541;1474541;1474541;10497990;7170784;7170784;7170784
0-1-2-3-0;1874107;1507895;1507895;1507895;10322071;7210031;7210031;7210031
0-1-2-0-3;1846245;1482242;1482242;1482242;10006752;7024515;7024515;7024515
0-1-0-2-3;1900846;1491892;1491892;1491892;10350962;7203461;7203461;7203461
0-0-1-2-3;1887127;1506794;1506794;1506794;10078489;6955168;6955168;6955168
1-2-3-4-0;1942738;1601109;1601109;1601109;11226089;8313130;8313130;8313130
1-2-3-0-4;1915591;1587687;1587687;1587687;10946140;8159708;8159708;8159708
1-2-0-3-4;1986671;1609882;1609882;1609882;11227499;8215744;8215744;8215744
1-0-2-3-4;1982347;1606290;1606290;1606290;11170903;8017877;8017877;8017877
0-1-2-3-4;1983777;1613890;1613890;1613890;11043441;8107876;8107876;8107876
1-2-3-4-5;1678132;1461832;1569300;1461832;9011581;7054580;8091164;7054580
