;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0;0;0;0;656;656;656;656
0-1-0-0-0;0;0;0;0;673;673;673;673
0-0-1-0-0;0;0;0;0;843;843;843;843
0-0-0-1-0;0;0;0;0;661;661;661;661
0-0-0-0-1;0;0;0;0;590;590;590;590
1-2-0-0-0;0;0;0;0;900;900;900;900
1-0-2-0-0;0;0;0;0;1080;1080;1080;1080
1-0-0-2-0;0;0;0;0;990;990;990;990
1-0-0-0-2;0;0;0;0;865;865;865;865
0-1-2-0-0;0;0;0;0;1051;1051;1051;1051
0-1-0-2-0;0;0;0;0;942;942;942;942
0-1-0-0-2;0;0;0;0;855;855;855;855
0-0-1-2-0;0;0;0;0;1072;1072;1072;1072
0-0-1-0-2;0;0;0;0;1012;1012;1012;1012
0-0-0-1-2;0;0;0;0;887;887;887;887
1-2-3-0-0;0;0;0;0;944;821;821;821
1-2-0-3-0;0;0;0;0;965;817;817;817
1-2-0-0-3;0;0;0;0;943;827;827;827
1-0-2-3-0;0;0;0;0;1142;982;982;982
1-0-2-0-3;0;0;0;0;1084;944;944;944
1-0-0-2-3;0;0;0;0;1022;875;875;875
0-1-2-3-0;0;0;0;0;1109;950;950;950
0-1-2-0-3;0;0;0;0;1041;898;898;898
0-1-0-2-3;0;0;0;0;1005;868;868;868
0-0-1-2-3;0;0;0;0;1113;926;926;926
1-2-3-4-0;0;0;0;0;1261;1099;1099;1099
1-2-3-0-4;0;0;0;0;1185;1023;1023;1023
1-2-0-3-4;0;0;0;0;1162;985;985;985
1-0-2-3-4;0;0;0;0;1305;1102;1102;1102
0-1-2-3-4;0;0;0;0;1242;1065;1065;1065
1-2-3-4-5;0;0;0;0;1114;956;1008;956
