;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.07596;0.07596;0.07596;0.07596;0.13741;0.13741;0.13741;0.13741
0-1-0-0-0;0.08463;0.08463;0.08463;0.08463;0.15575;0.15575;0.15575;0.15575
0-0-1-0-0;0.05968;0.05968;0.05968;0.05968;0.12909;0.12909;0.12909;0.12909
0-0-0-1-0;0.09272;0.09272;0.09272;0.09272;0.10992;0.10992;0.10992;0.10992
0-0-0-0-1;0.06778;0.06778;0.06778;0.06778;0.10783;0.10783;0.10783;0.10783
1-2-0-0-0;0.10229;0.10229;0.10229;0.10229;0.18332;0.18332;0.18332;0.18332
1-0-2-0-0;0.08921;0.08921;0.08921;0.08921;0.17979;0.17979;0.17979;0.17979
1-0-0-2-0;0.11714;0.11714;0.11714;0.11714;0.17294;0.17294;0.17294;0.17294
1-0-0-0-2;0.09845;0.09845;0.09845;0.09845;0.16894;0.16894;0.16894;0.16894
0-1-2-0-0;0.09437;0.09437;0.09437;0.09437;0.19237;0.19237;0.19237;0.19237
0-1-0-2-0;0.11967;0.11967;0.11967;0.11967;0.18585;0.18585;0.18585;0.18585
0-1-0-0-2;0.10229;0.10229;0.10229;0.10229;0.18180;0.18180;0.18180;0.18180
0-0-1-2-0;0.10590;0.10590;0.10590;0.10590;0.16083;0.16083;0.16083;0.16083
0-0-1-0-2;0.08651;0.08651;0.08651;0.08651;0.15994;0.15994;0.15994;0.15994
0-0-0-1-2;0.10968;0.10968;0.10968;0.10968;0.14671;0.14671;0.14671;0.14671
1-2-3-0-0;0.08588;0.08651;0.08651;0.08651;0.15891;0.15942;0.15942;0.15942
1-2-0-3-0;0.08755;0.08838;0.08838;0.08838;0.15516;0.15568;0.15568;0.15568
1-2-0-0-3;0.08859;0.08901;0.08901;0.08901;0.16006;0.16064;0.16064;0.16064
1-0-2-3-0;0.07958;0.08063;0.08063;0.08063;0.15119;0.15178;0.15178;0.15178
1-0-2-0-3;0.07915;0.08021;0.08021;0.08021;0.15568;0.15620;0.15620;0.15620
1-0-0-2-3;0.09375;0.09416;0.09416;0.09416;0.14612;0.14691;0.14691;0.14691
0-1-2-3-0;0.08505;0.08568;0.08568;0.08568;0.16154;0.16205;0.16205;0.16205
0-1-2-0-3;0.08442;0.08505;0.08505;0.08505;0.16523;0.16586;0.16586;0.16586
0-1-0-2-3;0.09682;0.09784;0.09784;0.09784;0.15827;0.15859;0.15859;0.15859
0-0-1-2-3;0.08505;0.08588;0.08588;0.08588;0.14199;0.14212;0.14212;0.14212
1-2-3-4-0;0.09723;0.09763;0.09763;0.09763;0.18307;0.18374;0.18374;0.18374
1-2-3-0-4;0.09743;0.09763;0.09763;0.09763;0.18603;0.18646;0.18646;0.18646
1-2-0-3-4;0.10888;0.10948;0.10948;0.10948;0.18113;0.18168;0.18168;0.18168
1-0-2-3-4;0.10088;0.10088;0.10088;0.10088;0.17400;0.17487;0.17487;0.17487
0-1-2-3-4;0.10390;0.10430;0.10430;0.10430;0.18295;0.18350;0.18350;0.18350
1-2-3-4-5;0.08921;0.09004;0.08963;0.09004;0.16636;0.16744;0.16731;0.16744
