;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;329;329;329;329;1689;1689;1689;1689
0-1-0-0-0;370;370;370;370;1923;1923;1923;1923
0-0-1-0-0;254;254;254;254;1553;1553;1553;1553
0-0-0-1-0;409;409;409;409;1311;1311;1311;1311
0-0-0-0-1;291;291;291;291;1280;1280;1280;1280
1-2-0-0-0;456;456;456;456;2345;2345;2345;2345
1-0-2-0-0;392;392;392;392;2301;2301;2301;2301
1-0-0-2-0;531;531;531;531;2214;2214;2214;2214
1-0-0-0-2;437;437;437;437;2146;2146;2146;2146
0-1-2-0-0;417;417;417;417;2477;2477;2477;2477
0-1-0-2-0;544;544;544;544;2383;2383;2383;2383
0-1-0-0-2;456;456;456;456;2324;2324;2324;2324
0-0-1-2-0;474;474;474;474;2020;2020;2020;2020
0-0-1-0-2;379;379;379;379;2003;2003;2003;2003
0-0-0-1-2;493;493;493;493;1821;1821;1821;1821
1-2-3-0-0;376;379;379;379;1995;1995;1995;1995
1-2-0-3-0;384;388;388;388;1939;1935;1935;1935
1-2-0-0-3;389;391;391;391;2009;2010;2010;2010
1-0-2-3-0;346;351;351;351;1883;1885;1885;1885
1-0-2-0-3;344;349;349;349;1948;1945;1945;1945
1-0-0-2-3;414;416;416;416;1825;1827;1827;1827
0-1-2-3-0;372;375;375;375;2023;2022;2022;2022
0-1-2-0-3;369;372;372;372;2077;2083;2083;2083
0-1-0-2-3;429;434;434;434;1986;1984;1984;1984
0-0-1-2-3;372;376;376;376;1748;1744;1744;1744
1-2-3-4-0;431;433;433;433;2354;2354;2354;2354
1-2-3-0-4;432;433;433;433;2401;2397;2397;2397
1-2-0-3-4;489;492;492;492;2336;2333;2333;2333
1-0-2-3-4;449;449;449;449;2227;2229;2229;2229
0-1-2-3-4;464;466;466;466;2352;2354;2354;2354
1-2-3-4-5;392;396;394;396;2103;2110;2112;2110
