;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.35260;0.35260;0.35260;0.35260;0.17799;0.17799;0.17799;0.17799
0-1-0-0-0;0.33163;0.33163;0.33163;0.33163;0.16410;0.16410;0.16410;0.16410
0-0-1-0-0;0.38938;0.38938;0.38938;0.38938;0.16266;0.16266;0.16266;0.16266
0-0-0-1-0;0.32683;0.32683;0.32683;0.32683;0.18628;0.18628;0.18628;0.18628
0-0-0-0-1;0.36827;0.36827;0.36827;0.36827;0.19343;0.19343;0.19343;0.19343
1-2-0-0-0;0.30925;0.30925;0.30925;0.30925;0.13983;0.13983;0.13983;0.13983
1-0-2-0-0;0.33087;0.33087;0.33087;0.33087;0.12893;0.12893;0.12893;0.12893
1-0-0-2-0;0.29424;0.29424;0.29424;0.29424;0.13724;0.13724;0.13724;0.13724
1-0-0-0-2;0.32063;0.32063;0.32063;0.32063;0.14291;0.14291;0.14291;0.14291
0-1-2-0-0;0.31683;0.31683;0.31683;0.31683;0.12446;0.12446;0.12446;0.12446
0-1-0-2-0;0.28626;0.28626;0.28626;0.28626;0.12904;0.12904;0.12904;0.12904
0-1-0-0-2;0.30993;0.30993;0.30993;0.30993;0.13669;0.13669;0.13669;0.13669
0-0-1-2-0;0.30980;0.30980;0.30980;0.30980;0.13762;0.13762;0.13762;0.13762
0-0-1-0-2;0.34066;0.34066;0.34066;0.34066;0.14038;0.14038;0.14038;0.14038
0-0-0-1-2;0.30577;0.30577;0.30577;0.30577;0.15046;0.15046;0.15046;0.15046
1-2-3-0-0;0.32608;0.32655;0.32655;0.32655;0.14867;0.14940;0.14940;0.14940
1-2-0-3-0;0.32132;0.32195;0.32195;0.32195;0.15112;0.15182;0.15182;0.15182
1-2-0-0-3;0.32257;0.32288;0.32288;0.32288;0.14891;0.14962;0.14962;0.14962
1-0-2-3-0;0.33908;0.33985;0.33985;0.33985;0.14020;0.14091;0.14091;0.14091
1-0-2-0-3;0.34180;0.34257;0.34257;0.34257;0.14003;0.14071;0.14071;0.14071
1-0-0-2-3;0.31521;0.31552;0.31552;0.31552;0.14837;0.14932;0.14932;0.14932
0-1-2-3-0;0.32546;0.32593;0.32593;0.32593;0.13509;0.13567;0.13567;0.13567
0-1-2-0-3;0.32847;0.32893;0.32893;0.32893;0.13547;0.13620;0.13620;0.13620
0-1-0-2-3;0.30544;0.30623;0.30623;0.30623;0.14226;0.14268;0.14268;0.14268
0-0-1-2-3;0.32777;0.32840;0.32840;0.32840;0.14619;0.14640;0.14640;0.14640
1-2-3-4-0;0.30896;0.30927;0.30927;0.30927;0.12315;0.12401;0.12401;0.12401
1-2-3-0-4;0.31094;0.31110;0.31110;0.31110;0.12356;0.12414;0.12414;0.12414
1-2-0-3-4;0.29319;0.29367;0.29367;0.29367;0.12834;0.12907;0.12907;0.12907
1-0-2-3-4;0.30519;0.30519;0.30519;0.30519;0.12478;0.12587;0.12587;0.12587
0-1-2-3-4;0.29689;0.29721;0.29721;0.29721;0.12090;0.12159;0.12159;0.12159
1-2-3-4-5;0.31842;0.31905;0.31874;0.31905;0.13184;0.13312;0.13294;0.13312
