;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.49270;0.49270;0.49270;0.49270;0.44737;0.44737;0.44737;0.44737
0-1-0-0-0;0.49161;0.49161;0.49161;0.49161;0.44639;0.44639;0.44639;0.44639
0-0-1-0-0;0.48899;0.48899;0.48899;0.48899;0.44924;0.44924;0.44924;0.44924
0-0-0-1-0;0.48918;0.48918;0.48918;0.48918;0.44623;0.44623;0.44623;0.44623
0-0-0-0-1;0.49221;0.49221;0.49221;0.49221;0.44959;0.44959;0.44959;0.44959
1-2-0-0-0;0.48674;0.48674;0.48674;0.48674;0.44125;0.44125;0.44125;0.44125
1-0-2-0-0;0.48534;0.48534;0.48534;0.48534;0.44115;0.44115;0.44115;0.44115
1-0-0-2-0;0.48389;0.48389;0.48389;0.48389;0.43940;0.43940;0.43940;0.43940
1-0-0-0-2;0.48533;0.48533;0.48533;0.48533;0.44171;0.44171;0.44171;0.44171
0-1-2-0-0;0.48456;0.48456;0.48456;0.48456;0.44051;0.44051;0.44051;0.44051
0-1-0-2-0;0.48414;0.48414;0.48414;0.48414;0.43986;0.43986;0.43986;0.43986
0-1-0-0-2;0.48497;0.48497;0.48497;0.48497;0.44128;0.44128;0.44128;0.44128
0-0-1-2-0;0.48326;0.48326;0.48326;0.48326;0.44057;0.44057;0.44057;0.44057
0-0-1-0-2;0.48546;0.48546;0.48546;0.48546;0.44382;0.44382;0.44382;0.44382
0-0-0-1-2;0.48243;0.48243;0.48243;0.48243;0.44130;0.44130;0.44130;0.44130
1-2-3-0-0;0.48086;0.49137;0.49137;0.49137;0.43626;0.44754;0.44754;0.44754
1-2-0-3-0;0.48000;0.49209;0.49209;0.49209;0.43527;0.44736;0.44736;0.44736
1-2-0-0-3;0.48105;0.49314;0.49314;0.49314;0.43732;0.44833;0.44833;0.44833
1-0-2-3-0;0.47975;0.49156;0.49156;0.49156;0.43559;0.44775;0.44775;0.44775
1-0-2-0-3;0.48074;0.49223;0.49223;0.49223;0.43800;0.44987;0.44987;0.44987
1-0-0-2-3;0.47860;0.49255;0.49255;0.49255;0.43597;0.44855;0.44855;0.44855
0-1-2-3-0;0.47886;0.49062;0.49062;0.49062;0.43558;0.44758;0.44758;0.44758
0-1-2-0-3;0.47997;0.49174;0.49174;0.49174;0.43755;0.44906;0.44906;0.44906
0-1-0-2-3;0.47856;0.49161;0.49161;0.49161;0.43601;0.44849;0.44849;0.44849
0-0-1-2-3;0.47908;0.49099;0.49099;0.49099;0.43718;0.44888;0.44888;0.44888
1-2-3-4-0;0.47723;0.48841;0.48841;0.48841;0.43259;0.44395;0.44395;0.44395
1-2-3-0-4;0.47814;0.48882;0.48882;0.48882;0.43457;0.44536;0.44536;0.44536
1-2-0-3-4;0.47601;0.48832;0.48832;0.48832;0.43322;0.44481;0.44481;0.44481
1-0-2-3-4;0.47624;0.48845;0.48845;0.48845;0.43342;0.44551;0.44551;0.44551
0-1-2-3-4;0.47580;0.48791;0.48791;0.48791;0.43384;0.44540;0.44540;0.44540
1-2-3-4-5;0.48559;0.49244;0.48914;0.49244;0.44202;0.44899;0.44529;0.44899
