;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;13384319;13384319;13384319;13384319;99156633;99156633;99156633;99156633
0-1-0-0-0;13358640;13358640;13358640;13358640;99009050;99009050;99009050;99009050
0-0-1-0-0;13070791;13070791;13070791;13070791;100041507;100041507;100041507;100041507
0-0-0-1-0;13256690;13256690;13256690;13256690;98425212;98425212;98425212;98425212
0-0-0-0-1;13310524;13310524;13310524;13310524;98849517;98849517;98849517;98849517
1-2-0-0-0;13455659;13455659;13455659;13455659;99401109;99401109;99401109;99401109
1-0-2-0-0;13381858;13381858;13381858;13381858;99685694;99685694;99685694;99685694
1-0-0-2-0;13458389;13458389;13458389;13458389;98956376;98956376;98956376;98956376
1-0-0-0-2;13382669;13382669;13382669;13382669;99455771;99455771;99455771;99455771
0-1-2-0-0;13338199;13338199;13338199;13338199;99568541;99568541;99568541;99568541
0-1-0-2-0;13471627;13471627;13471627;13471627;99394745;99394745;99394745;99394745
0-1-0-0-2;13371079;13371079;13371079;13371079;99229768;99229768;99229768;99229768
0-0-1-2-0;13350410;13350410;13350410;13350410;99189109;99189109;99189109;99189109
0-0-1-0-2;13352903;13352903;13352903;13352903;100092676;100092676;100092676;100092676
0-0-0-1-2;13348938;13348938;13348938;13348938;99248686;99248686;99248686;99248686
1-2-3-0-0;13237868;13403739;13403739;13403739;97832609;99337767;99337767;99337767
1-2-0-3-0;13256423;13451058;13451058;13451058;97759754;99518719;99518719;99518719
1-2-0-0-3;13293150;13499947;13499947;13499947;98412859;99850839;99850839;99850839
1-0-2-3-0;13231947;13411452;13411452;13411452;98307195;100050585;100050585;100050585
1-0-2-0-3;13213576;13401037;13401037;13401037;98961420;100626043;100626043;100626043
1-0-0-2-3;13265233;13534241;13534241;13534241;98395015;100114212;100114212;100114212
0-1-2-3-0;13186558;13377100;13377100;13377100;98371406;100139111;100139111;100139111
0-1-2-0-3;13176114;13395062;13395062;13395062;98878952;100431775;100431775;100431775
0-1-0-2-3;13279254;13519227;13519227;13519227;98278969;100131242;100131242;100131242
0-0-1-2-3;13250489;13439864;13439864;13439864;98737296;100224945;100224945;100224945
1-2-3-4-0;13269631;13474430;13474430;13474430;98193638;99970997;99970997;99970997
1-2-3-0-4;13293354;13438773;13438773;13438773;98703375;100313620;100313620;100313620
1-2-0-3-4;13274224;13502972;13502972;13502972;98279087;99929755;99929755;99929755
1-0-2-3-4;13269749;13517648;13517648;13517648;98533630;100295833;100295833;100295833
0-1-2-3-4;13265885;13514770;13514770;13514770;98745188;100546151;100546151;100546151
1-2-3-4-5;13386432;13485508;13444675;13485508;99565368;100249285;99804530;100249285
