;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;nan;nan;nan;nan;0.28137;0.28137;0.28137;0.28137
0-1-0-0-0;nan;nan;nan;nan;0.29579;0.29579;0.29579;0.29579
0-0-1-0-0;nan;nan;nan;nan;0.28904;0.28904;0.28904;0.28904
0-0-0-1-0;nan;nan;nan;nan;0.28970;0.28970;0.28970;0.28970
0-0-0-0-1;nan;nan;nan;nan;0.29327;0.29327;0.29327;0.29327
1-2-0-0-0;nan;nan;nan;nan;0.27879;0.27879;0.27879;0.27879
1-0-2-0-0;nan;nan;nan;nan;0.27610;0.27610;0.27610;0.27610
1-0-0-2-0;nan;nan;nan;nan;0.27602;0.27602;0.27602;0.27602
1-0-0-0-2;nan;nan;nan;nan;0.27602;0.27602;0.27602;0.27602
0-1-2-0-0;nan;nan;nan;nan;0.28086;0.28086;0.28086;0.28086
0-1-0-2-0;nan;nan;nan;nan;0.28954;0.28954;0.28954;0.28954
0-1-0-0-2;nan;nan;nan;nan;0.27753;0.27753;0.27753;0.27753
0-0-1-2-0;nan;nan;nan;nan;0.27662;0.27662;0.27662;0.27662
0-0-1-0-2;nan;nan;nan;nan;0.27758;0.27758;0.27758;0.27758
0-0-0-1-2;nan;nan;nan;nan;0.28028;0.28028;0.28028;0.28028
1-2-3-0-0;nan;nan;nan;nan;0.27222;0.28369;0.28369;0.28369
1-2-0-3-0;nan;nan;nan;nan;0.27335;0.28383;0.28383;0.28383
1-2-0-0-3;nan;nan;nan;nan;0.26990;0.27805;0.27805;0.27805
1-0-2-3-0;nan;nan;nan;nan;0.26896;0.28271;0.28271;0.28271
1-0-2-0-3;nan;nan;nan;nan;0.26967;0.28026;0.28026;0.28026
1-0-0-2-3;nan;nan;nan;nan;0.26598;0.27747;0.27747;0.27747
0-1-2-3-0;nan;nan;nan;nan;0.28001;0.28757;0.28757;0.28757
0-1-2-0-3;nan;nan;nan;nan;0.27375;0.28700;0.28700;0.28700
0-1-0-2-3;nan;nan;nan;nan;0.27669;0.28665;0.28665;0.28665
0-0-1-2-3;nan;nan;nan;nan;0.27071;0.29043;0.29043;0.29043
1-2-3-4-0;nan;nan;nan;nan;0.27098;0.28185;0.28185;0.28185
1-2-3-0-4;nan;nan;nan;nan;0.26686;0.27987;0.27987;0.27987
1-2-0-3-4;nan;nan;nan;nan;0.26646;0.27794;0.27794;0.27794
1-0-2-3-4;nan;nan;nan;nan;0.26349;0.28191;0.28191;0.28191
0-1-2-3-4;nan;nan;nan;nan;0.27022;0.28382;0.28382;0.28382
1-2-3-4-5;nan;nan;nan;nan;0.27466;0.28431;0.28046;0.28431
