;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;12500297;12500297;12500297;12500297;93415691;93415691;93415691;93415691
0-1-0-0-0;12489693;12489693;12489693;12489693;93517431;93517431;93517431;93517431
0-0-1-0-0;12264386;12264386;12264386;12264386;95183797;95183797;95183797;95183797
0-0-0-1-0;12462807;12462807;12462807;12462807;93727195;93727195;93727195;93727195
0-0-0-0-1;12401600;12401600;12401600;12401600;93306249;93306249;93306249;93306249
1-2-0-0-0;12505229;12505229;12505229;12505229;93089208;93089208;93089208;93089208
1-0-2-0-0;12442915;12442915;12442915;12442915;93791523;93791523;93791523;93791523
1-0-0-2-0;12513328;12513328;12513328;12513328;93149981;93149981;93149981;93149981
1-0-0-0-2;12395526;12395526;12395526;12395526;93065801;93065801;93065801;93065801
0-1-2-0-0;12382310;12382310;12382310;12382310;93904109;93904109;93904109;93904109
0-1-0-2-0;12548837;12548837;12548837;12548837;93660141;93660141;93660141;93660141
0-1-0-0-2;12406643;12406643;12406643;12406643;93027391;93027391;93027391;93027391
0-0-1-2-0;12428131;12428131;12428131;12428131;93909603;93909603;93909603;93909603
0-0-1-0-2;12368115;12368115;12368115;12368115;94203613;94203613;94203613;94203613
0-0-0-1-2;12382500;12382500;12382500;12382500;93370055;93370055;93370055;93370055
1-2-3-0-0;12239053;12560981;12560981;12560981;91649934;94454722;94454722;94454722
1-2-0-3-0;12284265;12640401;12640401;12640401;91537767;94543617;94543617;94543617
1-2-0-0-3;12268577;12647668;12647668;12647668;91847464;94547515;94547515;94547515
1-0-2-3-0;12264418;12613628;12613628;12613628;92395825;95580121;95580121;95580121
1-0-2-0-3;12210977;12575304;12575304;12575304;92529365;95678336;95678336;95678336
1-0-0-2-3;12255153;12701077;12701077;12701077;91989470;95177949;95177949;95177949
0-1-2-3-0;12213430;12563884;12563884;12563884;92633152;95640930;95640930;95640930
0-1-2-0-3;12151802;12519530;12519530;12519530;92556400;95362746;95362746;95362746
0-1-0-2-3;12276722;12698143;12698143;12698143;92047498;95123988;95123988;95123988
0-0-1-2-3;12252739;12610875;12610875;12610875;92729702;95631823;95631823;95631823
1-2-3-4-0;12268353;12602015;12602015;12602015;92053630;94845053;94845053;94845053
1-2-3-0-4;12250611;12546760;12546760;12546760;92197671;94832957;94832957;94832957
1-2-0-3-4;12244010;12611299;12611299;12611299;91731264;94472208;94472208;94472208
1-0-2-3-4;12249685;12646092;12646092;12646092;92290305;95177208;95177208;95177208
0-1-2-3-4;12259953;12646749;12646749;12646749;92494490;95311369;95311369;95311369
1-2-3-4-5;12467561;12663110;12573165;12663110;93916145;95549451;94575301;95549451
