;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;nan;nan;nan;nan;0.16942;0.16942;0.16942;0.16942
0-1-0-0-0;nan;nan;nan;nan;0.15833;0.15833;0.15833;0.15833
0-0-1-0-0;nan;nan;nan;nan;0.16910;0.16910;0.16910;0.16910
0-0-0-1-0;nan;nan;nan;nan;0.11659;0.11659;0.11659;0.11659
0-0-0-0-1;nan;nan;nan;nan;0.17537;0.17537;0.17537;0.17537
1-2-0-0-0;nan;nan;nan;nan;0.15250;0.15250;0.15250;0.15250
1-0-2-0-0;nan;nan;nan;nan;0.16211;0.16211;0.16211;0.16211
1-0-0-2-0;nan;nan;nan;nan;0.13043;0.13043;0.13043;0.13043
1-0-0-0-2;nan;nan;nan;nan;0.16744;0.16744;0.16744;0.16744
0-1-2-0-0;nan;nan;nan;nan;0.17263;0.17263;0.17263;0.17263
0-1-0-2-0;nan;nan;nan;nan;0.14167;0.14167;0.14167;0.14167
0-1-0-0-2;nan;nan;nan;nan;0.16404;0.16404;0.16404;0.16404
0-0-1-2-0;nan;nan;nan;nan;0.15666;0.15666;0.15666;0.15666
0-0-1-0-2;nan;nan;nan;nan;0.17033;0.17033;0.17033;0.17033
0-0-0-1-2;nan;nan;nan;nan;0.14610;0.14610;0.14610;0.14610
1-2-3-0-0;nan;nan;nan;nan;0.14750;0.15500;0.15500;0.15500
1-2-0-3-0;nan;nan;nan;nan;0.13611;0.14722;0.14722;0.14722
1-2-0-0-3;nan;nan;nan;nan;0.14783;0.15362;0.15362;0.15362
1-0-2-3-0;nan;nan;nan;nan;0.15652;0.16739;0.16739;0.16739
1-0-2-0-3;nan;nan;nan;nan;0.17079;0.17753;0.17753;0.17753
1-0-0-2-3;nan;nan;nan;nan;0.12811;0.14235;0.14235;0.14235
0-1-2-3-0;nan;nan;nan;nan;0.16739;0.16667;0.16667;0.16667
0-1-2-0-3;nan;nan;nan;nan;0.17174;0.18478;0.18478;0.18478
0-1-0-2-3;nan;nan;nan;nan;0.14583;0.16369;0.16369;0.16369
0-0-1-2-3;nan;nan;nan;nan;0.16033;0.17663;0.17663;0.17663
1-2-3-4-0;nan;nan;nan;nan;0.16600;0.16957;0.16957;0.16957
1-2-3-0-4;nan;nan;nan;nan;0.17000;0.18600;0.18600;0.18600
1-2-0-3-4;nan;nan;nan;nan;0.13333;0.15556;0.15556;0.15556
1-0-2-3-4;nan;nan;nan;nan;0.15652;0.17609;0.17609;0.17609
0-1-2-3-4;nan;nan;nan;nan;0.16522;0.18043;0.18043;0.18043
1-2-3-4-5;nan;nan;nan;nan;0.17174;0.18043;0.18043;0.18043
