;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0;0;0;0;41;41;41;41
0-1-0-0-0;0;0;0;0;57;57;57;57
0-0-1-0-0;0;0;0;0;58;58;58;58
0-0-0-1-0;0;0;0;0;26;26;26;26
0-0-0-0-1;0;0;0;0;47;47;47;47
1-2-0-0-0;0;0;0;0;61;61;61;61
1-0-2-0-0;0;0;0;0;77;77;77;77
1-0-0-2-0;0;0;0;0;45;45;45;45
1-0-0-0-2;0;0;0;0;72;72;72;72
0-1-2-0-0;0;0;0;0;82;82;82;82
0-1-0-2-0;0;0;0;0;51;51;51;51
0-1-0-0-2;0;0;0;0;73;73;73;73
0-0-1-2-0;0;0;0;0;60;60;60;60
0-0-1-0-2;0;0;0;0;62;62;62;62
0-0-0-1-2;0;0;0;0;45;45;45;45
1-2-3-0-0;0;0;0;0;59;62;62;62
1-2-0-3-0;0;0;0;0;49;53;53;53
1-2-0-0-3;0;0;0;0;51;53;53;53
1-0-2-3-0;0;0;0;0;72;77;77;77
1-0-2-0-3;0;0;0;0;76;79;79;79
1-0-0-2-3;0;0;0;0;36;40;40;40
0-1-2-3-0;0;0;0;0;77;70;70;70
0-1-2-0-3;0;0;0;0;79;85;85;85
0-1-0-2-3;0;0;0;0;49;55;55;55
0-0-1-2-3;0;0;0;0;59;65;65;65
1-2-3-4-0;0;0;0;0;83;78;78;78
1-2-3-0-4;0;0;0;0;85;93;93;93
1-2-0-3-4;0;0;0;0;48;56;56;56
1-0-2-3-4;0;0;0;0;72;81;81;81
0-1-2-3-4;0;0;0;0;76;83;83;83
1-2-3-4-5;0;0;0;0;79;83;83;83
