;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.38634;0.38634;0.38634;0.38634;0.48176;0.48176;0.48176;0.48176
0-1-0-0-0;0.38631;0.38631;0.38631;0.38631;0.48310;0.48310;0.48310;0.48310
0-0-1-0-0;0.38963;0.38963;0.38963;0.38963;0.48767;0.48767;0.48767;0.48767
0-0-0-1-0;0.38781;0.38781;0.38781;0.38781;0.48477;0.48477;0.48477;0.48477
0-0-0-0-1;0.38961;0.38961;0.38961;0.38961;0.48842;0.48842;0.48842;0.48842
1-2-0-0-0;0.39542;0.39542;0.39542;0.39542;0.48886;0.48886;0.48886;0.48886
1-0-2-0-0;0.39759;0.39759;0.39759;0.39759;0.49379;0.49379;0.49379;0.49379
1-0-0-2-0;0.39702;0.39702;0.39702;0.39702;0.49216;0.49216;0.49216;0.49216
1-0-0-0-2;0.39792;0.39792;0.39792;0.39792;0.49337;0.49337;0.49337;0.49337
0-1-2-0-0;0.39714;0.39714;0.39714;0.39714;0.49348;0.49348;0.49348;0.49348
0-1-0-2-0;0.39659;0.39659;0.39659;0.39659;0.49106;0.49106;0.49106;0.49106
0-1-0-0-2;0.39788;0.39788;0.39788;0.39788;0.49345;0.49345;0.49345;0.49345
0-0-1-2-0;0.39757;0.39757;0.39757;0.39757;0.49435;0.49435;0.49435;0.49435
0-0-1-0-2;0.39799;0.39799;0.39799;0.39799;0.49548;0.49548;0.49548;0.49548
0-0-0-1-2;0.39918;0.39918;0.39918;0.39918;0.49417;0.49417;0.49417;0.49417
1-2-3-0-0;0.40107;0.38805;0.38805;0.38805;0.49615;0.48539;0.48539;0.48539
1-2-0-3-0;0.40188;0.38743;0.38743;0.38743;0.49545;0.48446;0.48446;0.48446
1-2-0-0-3;0.40116;0.38877;0.38877;0.38877;0.49585;0.48540;0.48540;0.48540
1-0-2-3-0;0.40314;0.38872;0.38872;0.38872;0.49729;0.48676;0.48676;0.48676
1-0-2-0-3;0.40280;0.39044;0.39044;0.39044;0.49742;0.48702;0.48702;0.48702
1-0-0-2-3;0.40287;0.38841;0.38841;0.38841;0.49709;0.48596;0.48596;0.48596
0-1-2-3-0;0.40219;0.38770;0.38770;0.38770;0.49649;0.48601;0.48601;0.48601
0-1-2-0-3;0.40188;0.38960;0.38960;0.38960;0.49725;0.48739;0.48739;0.48739
0-1-0-2-3;0.40305;0.38874;0.38874;0.38874;0.49696;0.48592;0.48592;0.48592
0-0-1-2-3;0.40302;0.38925;0.38925;0.38925;0.49820;0.48841;0.48841;0.48841
1-2-3-4-0;0.40516;0.39333;0.39333;0.39333;0.49825;0.48996;0.48996;0.48996
1-2-3-0-4;0.40422;0.39364;0.39364;0.39364;0.49827;0.49048;0.49048;0.49048
1-2-0-3-4;0.40490;0.39282;0.39282;0.39282;0.49815;0.48974;0.48974;0.48974
1-0-2-3-4;0.40567;0.39418;0.39418;0.39418;0.49918;0.49126;0.49126;0.49126
0-1-2-3-4;0.40568;0.39442;0.39442;0.39442;0.49880;0.49076;0.49076;0.49076
1-2-3-4-5;0.39836;0.38915;0.39394;0.38915;0.49322;0.48664;0.49026;0.48664
